model,encoding,spike_rate,energy,param_count,macs
LSTM-AE,direct,0.000000,11842560.000000,122472.000000,1184256.000000
LSTM-AE,latency,0.000000,11842560.000000,122472.000000,1184256.000000
LSTM-AE,poisson,0.000000,11842560.000000,122472.000000,1184256.000000
SNN-conv1d,direct,0.087576,375365.866667,37286.000000,36864.000000
SNN-conv1d,latency,0.588715,433602.580000,37286.000000,36864.000000
SNN-conv1d,poisson,0.543138,410353.000000,37286.000000,36864.000000
SNN-dense,direct,0.071060,374097.400000,37286.000000,36864.000000
SNN-dense,latency,0.599592,414688.688889,37286.000000,36864.000000
SNN-dense,poisson,0.511851,407950.133333,37286.000000,36864.000000
SNN-recurrent,direct,0.525742,424822.720000,37286.000000,36864.000000
SNN-recurrent,latency,0.579147,413118.488889,37286.000000,36864.000000
SNN-recurrent,poisson,0.520139,424015.960000,37286.000000,36864.000000
gru-ae,direct,0.000000,8893440.000000,93032.000000,889344.000000
gru-ae,latency,0.000000,8893440.000000,93032.000000,889344.000000
gru-ae,poisson,0.000000,8893440.000000,93032.000000,889344.000000
transformer-ae,direct,0.000000,47554560.000000,139176.000000,4755456.000000
transformer-ae,latency,0.000000,47554560.000000,139176.000000,4755456.000000
transformer-ae,poisson,0.000000,47554560.000000,139176.000000,4755456.000000
