model,encoding,mse,mae,r2,f1
LSTM-AE,direct,0.647325,0.372417,0.352725,0.000000
LSTM-AE,latency,0.073906,0.102500,0.640789,0.000000
LSTM-AE,poisson,0.062650,0.075661,0.355080,0.000000
SNN-conv1d,direct,0.009583,0.053213,0.986914,0.000000
SNN-conv1d,latency,0.017203,0.043119,0.520765,0.000000
SNN-conv1d,poisson,0.048215,0.143151,-1.972328,0.246953
SNN-dense,direct,0.015090,0.071752,0.984910,0.000000
SNN-dense,latency,0.011333,0.033833,0.546969,0.000000
SNN-dense,poisson,0.059921,0.159789,-1.219870,0.239543
SNN-recurrent,direct,0.024599,0.034091,0.739381,0.000000
SNN-recurrent,latency,0.016283,0.043323,0.351685,0.000834
SNN-recurrent,poisson,0.062575,0.145896,-1.484358,0.218279
gru-ae,direct,0.669702,0.373972,0.330335,0.000000
gru-ae,latency,0.070409,0.109208,0.625787,0.000000
gru-ae,poisson,0.062012,0.080907,0.359007,0.000000
transformer-ae,direct,0.514684,0.352395,0.485366,0.000000
transformer-ae,latency,0.065851,0.095640,0.680234,0.000000
transformer-ae,poisson,0.061408,0.070419,0.394063,0.000000
