alpha mse_dense mse_conv1d mse_recurrent energy_dense energy_conv1d energy_recurrent
0.8000 0.0010 0.0004 0.0035 372240.0000 374340.0000 404460.0000
0.9000 0.0013 0.0019 0.0000 372240.0000 374896.8000 399296.4000
0.9900 0.0011 0.0004 0.0002 372240.0000 374340.0000 407857.2000
