model,mse,mae,r2,spike_rate,energy,infer_ms,train_ms,param_count,macs
LSTM-AE,0.274597,0.192895,0.385913,0.000000,11842560.000000,1211.518778,639639.928125,122472.000000,1184256.000000
SNN-conv1d,0.059258,0.130769,-0.155390,0.444727,410059.785714,26.949182,30890.468980,37286.000000,36864.000000
SNN-dense,0.068117,0.141102,0.058071,0.417815,400728.185185,19.842972,30298.198575,37286.000000,36864.000000
SNN-recurrent,0.050385,0.103082,-0.107011,0.553015,422407.200000,1328.150599,136144.701724,37286.000000,36864.000000
gru-ae,0.276033,0.193507,0.405217,0.000000,8893440.000000,2224.160881,661016.685417,93032.000000,889344.000000
transformer-ae,0.241789,0.189952,0.462101,0.000000,47554560.000000,376.532822,107884.525781,139176.000000,4755456.000000
