alpha mse_dense mse_conv1d mse_recurrent energy_dense energy_conv1d energy_recurrent
0.8000 0.0189 0.0074 0.0485 373358.2000 374497.6000 428626.6667
0.9000 0.0146 0.0068 0.0005 372359.6000 374422.8000 401554.4000
0.9900 0.0174 0.0064 0.0019 372886.0000 374410.8000 411959.0000
