model,mse,mae,r2,spike_rate,energy,infer_ms,train_ms,param_count,macs
LSTM-AE,0.265561,0.179644,0.426944,0.000000,11842560.000000,943.619922,393042.453125,122472.000000,1184256.000000
SNN-conv1d,0.026724,0.079794,-0.145283,0.400039,407928.049645,20.231365,25112.847899,37286.000000,36864.000000
SNN-dense,0.033217,0.089839,0.009288,0.378944,400985.789855,16.864280,21996.504433,37286.000000,36864.000000
SNN-recurrent,0.031830,0.071790,-0.113317,0.527093,416110.397163,946.201002,95518.022759,37286.000000,36864.000000
gru-ae,0.267101,0.182848,0.430097,0.000000,8893440.000000,1616.603125,368606.147917,93032.000000,889344.000000
transformer-ae,0.267237,0.176486,0.474969,0.000000,47554560.000000,274.397136,149968.202604,139176.000000,4755456.000000
