model,mse,mae,r2,spike_rate,energy,infer_ms,train_ms,param_count,macs
LSTM-AE,0.255168,0.174196,0.435444,0.000000,11842560.000000,1122.000663,434547.336458,122472.000000,1184256.000000
SNN-conv1d,0.024580,0.082592,-0.043592,0.412985,407410.557143,19.946984,19000.387688,37286.000000,36864.000000
SNN-dense,0.029921,0.095174,0.032460,0.394168,398912.074074,16.055501,17381.027955,37286.000000,36864.000000
SNN-recurrent,0.034699,0.078343,-0.148593,0.540384,420912.179310,1172.451385,104631.608378,37286.000000,36864.000000
gru-ae,0.257394,0.175593,0.440701,0.000000,8893440.000000,1805.472974,413660.886458,93032.000000,889344.000000
transformer-ae,0.255759,0.167861,0.501082,0.000000,47554560.000000,280.795071,118819.566927,139176.000000,4755456.000000
