model,encoding,spike_rate,energy,param_count,macs
LSTM-AE,direct,0.000000,11842560.000000,122472.000000,1184256.000000
LSTM-AE,latency,0.000000,11842560.000000,122472.000000,1184256.000000
LSTM-AE,poisson,0.000000,11842560.000000,122472.000000,1184256.000000
SNN-conv1d,direct,0.083762,375072.888889,37286.000000,36864.000000
SNN-conv1d,latency,0.571332,426262.520833,37286.000000,36864.000000
SNN-conv1d,poisson,0.541646,410238.377778,37286.000000,36864.000000
SNN-dense,direct,0.063520,373518.311111,37286.000000,36864.000000
SNN-dense,latency,0.584940,413563.355556,37286.000000,36864.000000
SNN-dense,poisson,0.513079,411409.021739,37286.000000,36864.000000
SNN-recurrent,direct,0.525115,426405.520000,37286.000000,36864.000000
SNN-recurrent,latency,0.549911,418740.872340,37286.000000,36864.000000
SNN-recurrent,poisson,0.514606,420743.979592,37286.000000,36864.000000
gru-ae,direct,0.000000,8893440.000000,93032.000000,889344.000000
gru-ae,latency,0.000000,8893440.000000,93032.000000,889344.000000
gru-ae,poisson,0.000000,8893440.000000,93032.000000,889344.000000
transformer-ae,direct,0.000000,47554560.000000,139176.000000,4755456.000000
transformer-ae,latency,0.000000,47554560.000000,139176.000000,4755456.000000
transformer-ae,poisson,0.000000,47554560.000000,139176.000000,4755456.000000
