# model=snn-ae encoding=poisson architecture=conv1d v_th=1.5 alpha=0.8 run=5
epoch train_loss val_loss
1 0.021149 0.006663
2 0.006761 0.004678
3 0.005515 0.003276
4 0.004857 0.003151
5 0.004016 0.002431
6 0.003680 0.002002
7 0.003402 0.001970
8 0.003018 0.001693
9 0.002819 0.001461
10 0.002665 0.001278
11 0.002702 0.001303
12 0.002562 0.001220
13 0.002592 0.001332
14 0.002494 0.001139
15 0.002458 0.001230
16 0.002497 0.001268
17 0.002403 0.001521
18 0.002430 0.001126
19 0.002478 0.001305
20 0.002449 0.001266
21 0.002414 0.001290
22 0.002437 0.001143
23 0.002360 0.001240
