model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
gru-ae direct gru 0.000000 0.000000 0.6707 0.3694 0.3294 0.0000 0.0000 8893440.0000 1652.8479 335401.0438 93032.0000 889344.0000
gru-ae latency gru 0.000000 0.000000 0.0689 0.1045 0.6613 0.0000 0.0000 8893440.0000 1387.0365 287172.4375 93032.0000 889344.0000
gru-ae poisson gru 0.000000 0.000000 0.0617 0.0747 0.2996 0.0000 0.0000 8893440.0000 1809.9250 483244.9625 93032.0000 889344.0000
lstm-ae direct lstm 0.000000 0.000000 0.6655 0.3667 0.3346 0.0000 0.0000 11842560.0000 1032.1263 325002.4875 122472.0000 1184256.0000
lstm-ae latency lstm 0.000000 0.000000 0.0688 0.0952 0.6639 0.0000 0.0000 11842560.0000 854.9753 533537.1625 122472.0000 1184256.0000
lstm-ae poisson lstm 0.000000 0.000000 0.0624 0.0770 0.2823 0.0000 0.0000 11842560.0000 943.7582 320587.7094 122472.0000 1184256.0000
snn-ae direct conv1d 0.500000 0.800000 0.0071 0.0505 0.9905 0.0468 0.0765 374517.4000 13.1701 12831.2418 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.900000 0.0089 0.0520 0.9882 0.0392 0.0836 375063.4000 26.3738 19613.4137 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.990000 0.0051 0.0357 0.9931 0.0392 0.0748 374381.4000 14.0747 23910.1020 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.800000 0.0074 0.0494 0.9901 0.0468 0.0763 374497.6000 15.0598 10476.5039 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.900000 0.0068 0.0468 0.9910 0.0392 0.0753 374422.8000 109.1625 10445.4283 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.990000 0.0064 0.0422 0.9915 0.0392 0.0751 374410.8000 22.4818 22423.9033 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.800000 0.0068 0.0437 0.9909 0.0618 0.0805 374821.2000 16.8053 17140.7975 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.900000 0.0078 0.0521 0.9896 0.0392 0.0755 374440.6000 12.8874 10229.6068 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.990000 0.0079 0.0541 0.9894 0.0392 0.0763 374497.2000 14.4857 11281.5678 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.800000 0.0158 0.0623 0.9842 0.0392 0.0545 372829.0000 11.5281 11966.5410 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.900000 0.0163 0.0616 0.9837 0.0468 0.0493 372426.2000 14.5716 14330.7102 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.990000 0.0148 0.0536 0.9852 0.0392 0.0516 372600.0000 15.8343 20983.4213 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.800000 0.0189 0.0686 0.9811 0.0468 0.0614 373358.2000 14.7272 17597.7625 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.900000 0.0146 0.0547 0.9854 0.0392 0.0484 372359.6000 11.2266 16090.9771 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.990000 0.0174 0.0618 0.9826 0.0392 0.0553 372886.0000 17.8348 10636.8170 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.800000 0.0178 0.0683 0.9822 0.0392 0.0581 373103.2000 10.5810 10585.8473 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.900000 0.0148 0.0549 0.9852 0.0468 0.0485 372365.4000 11.6884 13287.8813 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.990000 0.0159 0.0583 0.9841 0.0392 0.0494 372430.6000 12.0111 11401.5129 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.800000 0.0007 0.0088 0.9922 0.0392 0.4787 405406.0000 993.8069 100590.7789 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.900000 0.0009 0.0078 0.9912 0.0314 0.5279 409180.0000 1157.6662 101965.6969 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.990000 0.0016 0.0101 0.9909 0.0157 0.6065 415221.8000 1167.1131 106307.9563 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.800000 0.0485 0.0632 0.6037 0.0065 0.4031 428626.6667 1241.1517 95617.8880 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.900000 0.0005 0.0047 0.9947 0.0078 0.4286 401554.4000 889.8520 95202.6766 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.990000 0.0019 0.0063 0.9849 0.0000 0.5640 411959.0000 869.1558 58326.5930 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.800000 0.0908 0.1123 -0.0470 0.0056 0.4650 449487.2857 992.7709 129247.8895 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.900000 0.0004 0.0037 0.9947 0.0000 0.4896 406240.6000 958.2984 83570.9148 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.990000 0.0243 0.0471 0.5938 0.0000 0.5640 460076.1429 1075.6292 119707.5826 37286.0000 36864.0000
snn-ae latency conv1d 0.500000 0.800000 0.0042 0.0192 0.7627 0.0000 0.6076 415304.0000 13.0710 10822.5562 37286.0000 36864.0000
