model,encoding,mse,mae,r2,f1
LSTM-AE,direct,0.717276,0.451970,0.282829,0.000000
LSTM-AE,latency,0.076133,0.109537,0.618217,0.000000
LSTM-AE,poisson,0.059790,0.074411,0.192336,0.000000
SNN-conv1d,direct,0.131848,0.207233,0.827302,0.249192
SNN-conv1d,latency,0.049199,0.101614,0.532744,0.063519
SNN-conv1d,poisson,0.053415,0.149581,-1.574242,0.225788
SNN-dense,direct,0.135532,0.214953,0.864467,0.213136
SNN-dense,latency,0.047730,0.095176,0.540408,0.048881
SNN-dense,poisson,0.073694,0.174341,-1.179135,0.281715
SNN-recurrent,direct,0.032079,0.060642,0.648489,0.012336
SNN-recurrent,latency,0.047988,0.101517,0.447295,0.035894
SNN-recurrent,poisson,0.066623,0.154463,-1.163446,0.245887
gru-ae,direct,0.741937,0.437270,0.258138,0.000000
gru-ae,latency,0.075980,0.124983,0.612029,0.000000
gru-ae,poisson,0.059370,0.072903,0.202102,0.000000
transformer-ae,direct,0.740979,0.437567,0.259109,0.000000
transformer-ae,latency,0.078738,0.110538,0.611752,0.000000
transformer-ae,poisson,0.054078,0.058925,0.318751,0.000000
