model,mse,mae,r2,spike_rate,energy,infer_ms,train_ms,param_count,macs
LSTM-AE,0.264926,0.190639,0.425087,0.000000,11842560.000000,985.609180,468122.777083,122472.000000,1184256.000000
SNN-conv1d,0.063420,0.142494,-0.169136,0.451993,407547.188406,18.886667,23468.900132,37286.000000,36864.000000
SNN-dense,0.073713,0.155461,0.068989,0.431337,401766.688889,15.434286,20515.246235,37286.000000,36864.000000
SNN-recurrent,0.049176,0.106406,-0.060239,0.569225,426460.836735,965.345543,101628.102984,37286.000000,36864.000000
gru-ae,0.242384,0.188987,0.446356,0.000000,8893440.000000,1681.037020,505941.416667,93032.000000,889344.000000
transformer-ae,0.200649,0.177383,0.513526,0.000000,47554560.000000,262.766436,142056.343750,139176.000000,4755456.000000
