model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
gru-ae direct gru 0.000000 0.000000 0.6697 0.3740 0.3303 0.0000 0.0000 8893440.0000 2498.2124 366485.7219 93032.0000 889344.0000
gru-ae latency gru 0.000000 0.000000 0.0704 0.1092 0.6258 0.0000 0.0000 8893440.0000 1653.4015 341487.6250 93032.0000 889344.0000
gru-ae poisson gru 0.000000 0.000000 0.0620 0.0809 0.3590 0.0000 0.0000 8893440.0000 2216.2219 669556.3625 93032.0000 889344.0000
lstm-ae direct lstm 0.000000 0.000000 0.6473 0.3724 0.3527 0.0000 0.0000 11842560.0000 950.8100 374192.9062 122472.0000 1184256.0000
lstm-ae latency lstm 0.000000 0.000000 0.0739 0.1025 0.6408 0.0000 0.0000 11842560.0000 3827.6843 858848.3125 122472.0000 1184256.0000
lstm-ae poisson lstm 0.000000 0.000000 0.0626 0.0757 0.3551 0.0000 0.0000 11842560.0000 1326.8753 668848.4187 122472.0000 1184256.0000
snn-ae direct conv1d 0.500000 0.800000 0.0101 0.0498 0.9863 0.0000 0.0842 375109.8000 20.0933 29785.3559 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.900000 0.0088 0.0528 0.9880 0.0000 0.0822 374956.2000 15.8265 16594.8080 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.990000 0.0088 0.0539 0.9880 0.0000 0.0814 374891.4000 12.5815 17210.6441 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.800000 0.0119 0.0557 0.9838 0.0000 0.0885 375438.4000 14.5640 28802.8238 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.900000 0.0085 0.0524 0.9884 0.0000 0.0823 374957.4000 46.3136 11843.8066 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.990000 0.0077 0.0475 0.9895 0.0000 0.0783 374650.6000 12.0486 15673.2389 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.800000 0.0117 0.0570 0.9841 0.0000 0.0899 375541.8000 13.1347 15594.2153 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.900000 0.0101 0.0543 0.9861 0.0000 0.0858 375231.8000 15.7328 21237.8204 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.990000 0.0088 0.0556 0.9880 0.0000 0.0812 374878.6000 16.4185 22038.1154 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.800000 0.0156 0.0780 0.9844 0.0000 0.0658 373692.4000 16.7441 11583.3025 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.900000 0.0130 0.0629 0.9870 0.0000 0.0571 373023.0000 15.6852 18493.0775 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.990000 0.0200 0.0803 0.9800 0.0000 0.0784 374659.8000 14.4721 11973.8964 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.800000 0.0136 0.0687 0.9864 0.0000 0.0606 373292.8000 17.6392 16496.7165 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.900000 0.0133 0.0675 0.9867 0.0000 0.0587 373150.6000 11.2454 10129.1791 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.990000 0.0129 0.0588 0.9871 0.0000 0.0507 372536.4000 16.0256 14962.7434 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.800000 0.0164 0.0766 0.9836 0.0000 0.0746 374373.0000 13.4007 20900.7662 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.900000 0.0145 0.0742 0.9855 0.0000 0.0640 373555.0000 16.4241 11575.9721 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.990000 0.0165 0.0789 0.9835 0.0000 0.0617 373381.8000 11.3038 17922.6787 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.800000 0.0018 0.0091 0.9800 0.0000 0.5456 410543.2000 952.1101 142057.9930 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.900000 0.0013 0.0097 0.9880 0.0000 0.5006 407085.0000 1446.5147 95012.1633 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.990000 0.0245 0.0370 0.8207 0.0000 0.6047 447292.8333 990.9861 107813.8691 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.800000 0.0014 0.0094 0.9815 0.0000 0.4827 405709.4000 1062.0468 133711.7961 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.900000 0.0007 0.0062 0.9927 0.0000 0.4977 406867.0000 1465.0334 86522.9930 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.990000 0.0022 0.0110 0.9827 0.0000 0.5539 411178.8000 963.4011 117257.7219 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.800000 0.0015 0.0063 0.9777 0.0000 0.4614 404072.2000 1390.4426 213925.8250 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.900000 0.1145 0.1302 -0.2645 0.0000 0.5126 483405.3333 1524.8460 208597.8003 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.990000 0.0017 0.0103 0.9826 0.0000 0.5609 411718.6000 1203.7335 157514.2094 37286.0000 36864.0000
snn-ae latency conv1d 0.500000 0.800000 0.0123 0.0475 0.3939 0.0000 0.5333 409596.8000 15.8874 12656.7279 37286.0000 36864.0000
snn-ae latency conv1d 0.500000 0.900000 0.0070 0.0228 0.6536 0.0000 0.5996 414685.8000 16.1708 22900.6186 37286.0000 36864.0000
snn-ae latency conv1d 0.500000 0.990000 0.0142 0.0320 0.2993 0.0000 0.6405 417834.2000 15.2432 31781.4789 37286.0000 36864.0000
snn-ae latency conv1d 1.000000 0.800000 0.0263 0.0525 0.6922 0.0000 0.5094 443344.3333 19.4050 97059.0895 37286.0000 36864.0000
snn-ae latency conv1d 1.000000 0.900000 0.0090 0.0315 0.5569 0.0000 0.5298 409328.8000 15.5450 17139.9826 37286.0000 36864.0000
snn-ae latency conv1d 1.000000 0.990000 0.0126 0.0317 0.3807 0.0000 0.6230 416489.2000 16.4593 17282.8242 37286.0000 36864.0000
snn-ae latency conv1d 1.500000 0.800000 0.0407 0.0773 0.6748 0.0000 0.5751 476556.1429 26.5281 27576.9584 37286.0000 36864.0000
snn-ae latency conv1d 1.500000 0.900000 0.0108 0.0484 0.4664 0.0000 0.5350 409724.6000 15.7930 26178.8863 37286.0000 36864.0000
snn-ae latency conv1d 1.500000 0.990000 0.0107 0.0288 0.4731 0.0000 0.6071 415269.0000 27.3137 23811.7992 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.800000 0.0086 0.0272 0.6569 0.0000 0.5957 414389.2000 13.8888 29090.3516 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.900000 0.0095 0.0263 0.6208 0.0000 0.6293 416971.4000 14.2280 16901.4539 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.990000 0.0172 0.0361 0.3137 0.0000 0.6379 417629.0000 13.5332 23120.8797 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.800000 0.0071 0.0290 0.7169 0.0000 0.5431 410349.0000 20.0815 33334.2711 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.900000 0.0108 0.0343 0.5699 0.0000 0.5798 413170.0000 14.9502 22654.4605 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.990000 0.0142 0.0327 0.4339 0.0000 0.6068 415240.8000 25.5775 38856.2336 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.800000 0.0090 0.0409 0.6406 0.0000 0.5259 409027.0000 13.2474 46891.9062 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.900000 0.0130 0.0471 0.4787 0.0000 0.5555 411304.4000 22.6224 26398.5479 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.990000 0.0127 0.0309 0.4913 0.0000 0.5905 413989.4000 13.8499 24724.9137 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.800000 0.0093 0.0310 0.6393 0.0000 0.5359 409798.6000 1138.7756 154761.1680 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.900000 0.0089 0.0278 0.6638 0.0000 0.5349 409717.4000 1212.2693 85556.2688 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.990000 0.0238 0.0409 0.1414 0.0000 0.5535 411151.4000 1128.1629 145820.0922 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.800000 0.0130 0.0575 0.3176 0.0000 0.5017 407170.2000 1175.2182 139244.6641 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.900000 0.0099 0.0294 0.5201 0.0078 0.5023 407217.4000 998.8597 117205.5016 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.990000 0.0114 0.0309 0.4647 0.0000 0.6358 417468.6000 1042.0362 74894.0844 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.800000 0.0393 0.0767 0.3406 0.0000 0.5408 462999.5714 1288.2556 153708.8064 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.900000 0.0115 0.0523 -0.1154 0.0000 0.5235 408845.0000 1070.7014 139128.6016 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.990000 0.0103 0.0300 0.1976 0.0000 0.6244 416596.2000 1418.9629 60332.5578 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.800000 0.0494 0.1572 -2.0444 0.2383 0.5377 409931.8000 15.8262 31782.2559 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.900000 0.0707 0.1876 -3.3618 0.3752 0.5418 410249.2000 21.5910 24081.2133 37286.0000 36864.0000
