model,mse,mae,r2,spike_rate,energy,infer_ms,train_ms,param_count,macs
LSTM-AE,0.284400,0.211972,0.364460,0.000000,11842560.000000,846.872599,365773.867708,122472.000000,1184256.000000
SNN-conv1d,0.076982,0.151311,-0.075577,0.442505,410985.198582,14.602216,20432.951252,37286.000000,36864.000000
SNN-dense,0.085652,0.161490,0.075247,0.421315,400996.985185,13.086698,17224.036491,37286.000000,36864.000000
SNN-recurrent,0.048676,0.104973,-0.019760,0.563422,422638.590278,901.190167,93798.558580,37286.000000,36864.000000
gru-ae,0.292429,0.211719,0.357423,0.000000,8893440.000000,2012.907284,291285.907292,93032.000000,889344.000000
transformer-ae,0.291265,0.202343,0.396537,0.000000,47554560.000000,232.182309,113942.664583,139176.000000,4755456.000000
