model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
snn-ae latency conv1d 1.500000 0.990000 0.0357 0.0829 0.5349 0.0609 0.6690 420016.2000 17.2885 30964.8398 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.800000 0.0262 0.0628 0.6905 0.0000 0.6403 417817.0000 31.7836 27147.6500 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.900000 0.0350 0.0848 0.5858 0.0687 0.6566 419069.2000 13.9646 20539.1988 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.990000 0.0723 0.1275 0.1444 0.3139 0.6739 420397.6000 20.9705 14117.6650 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.800000 0.0218 0.0583 0.7418 0.0000 0.5879 413792.8000 14.0389 24775.1539 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.900000 0.0277 0.0694 0.6718 0.0000 0.6363 417507.0000 20.9252 62844.6578 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.990000 0.0531 0.0998 0.3722 0.1694 0.6700 420094.6000 22.9530 24726.4561 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.800000 0.0185 0.0534 0.7816 0.0000 0.5746 412772.0000 21.9533 40442.6773 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.900000 0.0248 0.0633 0.7063 0.0000 0.5833 413433.8000 42.3333 37911.6215 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.990000 0.0399 0.0895 0.5283 0.0577 0.6678 419930.4000 15.6509 33170.6098 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.800000 0.0228 0.0581 0.7426 0.0000 0.5973 414515.4000 4615.9276 277757.4719 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.900000 0.0278 0.0697 0.6956 0.0078 0.6225 416445.4000 1398.5141 175381.2422 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.990000 0.0769 0.1194 0.1878 0.3657 0.6872 421413.6000 1703.5238 76170.7047 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.800000 0.0279 0.0801 0.5683 0.0000 0.5725 412609.6000 1060.6368 170641.1641 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.900000 0.0320 0.0778 0.5594 0.0000 0.6026 414921.4000 1234.2485 77368.1523 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.990000 0.0518 0.1133 0.3607 0.0980 0.6436 418068.8000 1023.9315 72282.2906 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.800000 0.0177 0.0568 0.5669 0.0000 0.5594 411598.8000 1034.6974 126939.3594 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.900000 0.0272 0.0804 0.3980 0.0000 0.6057 415160.2000 1019.1128 71393.3758 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.990000 0.0421 0.0984 0.2143 0.0755 0.6595 419289.4000 1031.1260 53779.3805 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.800000 0.0498 0.1503 -1.7291 0.2905 0.5241 408889.2000 13.9967 32860.1957 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.900000 0.0710 0.1903 -2.8936 0.3552 0.5357 409781.0000 15.5137 21957.2844 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.990000 0.1027 0.2223 -4.6307 0.5285 0.5491 410812.4000 13.7977 20027.6117 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.800000 0.0382 0.1265 -1.0941 0.1581 0.5223 408750.4000 15.4151 28466.4707 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.900000 0.0594 0.1645 -2.2575 0.3310 0.5116 407934.0000 14.4482 25224.6953 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.990000 0.0506 0.1481 -1.7757 0.2963 0.5695 412378.4000 17.3469 19776.9564 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.800000 0.0152 0.0703 0.1673 0.0155 0.5332 409591.8000 31.2845 31884.0414 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.900000 0.0399 0.1315 -1.1874 0.1476 0.5253 408986.8000 18.4347 23488.6582 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.990000 0.0672 0.1668 -2.6881 0.2921 0.5357 409782.2000 28.7846 20126.4779 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.800000 0.0534 0.1511 -0.7357 0.2328 0.5038 407328.8000 14.4208 22237.1072 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.900000 0.0658 0.1797 -1.1385 0.3191 0.5081 407660.2000 12.8046 17705.5656 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.990000 0.1391 0.2719 -3.5231 0.5680 0.5220 408726.6000 28.7251 24531.3359 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.800000 0.0277 0.1007 0.1016 0.0595 0.4961 406743.6000 12.6316 20150.2352 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.900000 0.0519 0.1507 -0.6855 0.2454 0.4984 406917.6000 13.3120 19751.9422 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.990000 0.1213 0.2565 -2.9392 0.5555 0.5087 407706.4000 23.2328 24230.2992 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.800000 0.0147 0.0597 0.5221 0.0154 0.5084 407688.6000 15.1224 27171.7348 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.900000 0.0351 0.1179 -0.1403 0.1061 0.5007 407093.4000 23.7696 22726.2266 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.990000 0.1303 0.2638 -3.2356 0.5368 0.5178 408403.4000 13.3233 27491.3014 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.800000 0.0538 0.1557 -0.3683 0.2592 0.5108 407866.0000 964.6572 90988.8109 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.900000 0.0764 0.1857 -0.7165 0.3840 0.5247 408939.8000 1057.5746 67842.8383 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.990000 0.1238 0.2456 -1.2240 0.5425 0.5718 412555.6000 1051.5729 96546.9789 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.800000 0.0183 0.0790 0.1097 0.0078 0.5028 407256.0000 987.2532 92994.6680 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.900000 0.0452 0.1423 -0.9747 0.1823 0.5027 407245.8000 1015.7270 81200.5266 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.990000 0.1527 0.2774 -4.6323 0.5511 0.5102 407820.8000 1107.8704 110061.0875 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.800000 0.0363 0.0841 -0.2242 0.0118 0.5091 486400.1000 1045.6614 160876.0227 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.900000 0.0181 0.0724 -0.4209 0.0276 0.5063 407523.4000 971.0394 157470.7297 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.990000 0.0864 0.2054 -3.9914 0.3834 0.5072 407596.4000 973.5213 84600.4930 37286.0000 36864.0000
transformer-ae direct transformer 0.000000 0.000000 0.5921 0.3726 0.4077 0.0000 0.0000 47554560.0000 529.8937 97655.6531 139176.0000 4755456.0000
transformer-ae latency transformer 0.000000 0.000000 0.0767 0.1300 0.6060 0.0000 0.0000 47554560.0000 305.7194 63313.3305 139176.0000 4755456.0000
transformer-ae poisson transformer 0.000000 0.000000 0.0566 0.0672 0.3726 0.0000 0.0000 47554560.0000 293.9854 162684.5938 139176.0000 4755456.0000
