model,encoding,mse,mae,r2,f1
LSTM-AE,direct,0.670678,0.384474,0.329077,0.000000
LSTM-AE,latency,0.090961,0.118807,0.573381,0.000000
LSTM-AE,poisson,0.062152,0.075405,0.255281,0.000000
SNN-conv1d,direct,0.081919,0.157445,0.889712,0.453060
SNN-conv1d,latency,0.042797,0.087405,0.573043,0.050607
SNN-conv1d,poisson,0.054889,0.152275,-2.009862,0.268326
SNN-dense,direct,0.097862,0.172108,0.902141,0.464286
SNN-dense,latency,0.035474,0.078754,0.580311,0.067740
SNN-dense,poisson,0.071015,0.172443,-1.308238,0.293171
SNN-recurrent,direct,0.048766,0.070382,0.527003,0.077887
SNN-recurrent,latency,0.036243,0.083772,0.477068,0.060784
SNN-recurrent,poisson,0.064731,0.153160,-1.266695,0.236147
gru-ae,direct,0.694223,0.392955,0.305605,0.000000
gru-ae,latency,0.072713,0.110289,0.644183,0.000000
gru-ae,poisson,0.061164,0.077278,0.265865,0.000000
transformer-ae,direct,0.592085,0.372612,0.407723,0.000000
transformer-ae,latency,0.076662,0.130040,0.606024,0.000000
transformer-ae,poisson,0.056619,0.067203,0.372556,0.000000
