alpha mse_dense mse_conv1d mse_recurrent energy_dense energy_conv1d energy_recurrent
0.8000 0.0000 0.0000 0.1370 0.0000 0.0000 374834.3333
0.9000 0.0000 0.0000 0.1381 0.0000 0.0000 374974.6667
0.9900 0.0000 0.0000 0.0582 0.0000 0.0000 375588.0000
