alpha mse_dense mse_conv1d mse_recurrent energy_dense energy_conv1d energy_recurrent
0.8000 0.1193 0.1171 0.0216 379751.4000 382686.2000 408992.2000
0.9000 0.0913 0.0818 0.1858 377333.4000 379772.8000 469606.6250
0.9900 0.0821 0.0628 0.0304 374961.6000 376075.2000 442165.1667
