model,encoding,spike_rate,energy,param_count,macs
LSTM-AE,direct,0.000000,11842560.000000,122472.000000,1184256.000000
LSTM-AE,latency,0.000000,11842560.000000,122472.000000,1184256.000000
LSTM-AE,poisson,0.000000,11842560.000000,122472.000000,1184256.000000
SNN-conv1d,direct,0.147101,379937.377778,37286.000000,36864.000000
SNN-conv1d,latency,0.657560,428315.127660,37286.000000,36864.000000
SNN-conv1d,poisson,0.540222,413337.369565,37286.000000,36864.000000
SNN-dense,direct,0.122808,378071.688889,37286.000000,36864.000000
SNN-dense,latency,0.661819,419467.733333,37286.000000,36864.000000
SNN-dense,poisson,0.509383,407760.644444,37286.000000,36864.000000
SNN-recurrent,direct,0.557888,429215.760000,37286.000000,36864.000000
SNN-recurrent,latency,0.631756,428802.666667,37286.000000,36864.000000
SNN-recurrent,poisson,0.519539,421355.653061,37286.000000,36864.000000
gru-ae,direct,0.000000,8893440.000000,93032.000000,889344.000000
gru-ae,latency,0.000000,8893440.000000,93032.000000,889344.000000
gru-ae,poisson,0.000000,8893440.000000,93032.000000,889344.000000
transformer-ae,direct,0.000000,47554560.000000,139176.000000,4755456.000000
transformer-ae,latency,0.000000,47554560.000000,139176.000000,4755456.000000
transformer-ae,poisson,0.000000,47554560.000000,139176.000000,4755456.000000
