alpha mse_dense mse_conv1d mse_recurrent energy_dense energy_conv1d energy_recurrent
0.8000 0.0136 0.0119 0.0014 373292.8000 375438.4000 405709.4000
0.9000 0.0133 0.0085 0.0007 373150.6000 374957.4000 406867.0000
0.9900 0.0129 0.0077 0.0022 372536.4000 374650.6000 411178.8000
