model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
snn-ae latency conv1d 1.500000 0.990000 0.0000 0.0008 0.9968 0.0000 0.5023 407220.0000 16.5036 49384.7863 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.800000 0.0002 0.0011 0.9714 0.0000 0.4929 406498.0000 114.3511 48773.1742 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.900000 0.0005 0.0009 0.9403 0.0000 0.5226 408774.0000 24.0592 78903.5867 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.990000 0.0003 0.0006 0.9600 0.0000 0.5062 407517.2000 27.8230 53716.1051 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.800000 0.0002 0.0019 0.9721 0.0000 0.5195 434730.5000 26.7893 81634.6501 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.900000 0.0000 0.0005 0.9941 0.0000 0.5085 407694.4000 27.6782 72196.8082 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.990000 0.0002 0.0030 0.9737 0.0000 0.5171 408356.6000 29.7550 54233.6953 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.800000 0.0000 0.0014 0.9970 0.0000 0.4750 405123.0000 43.6040 109987.3750 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.900000 0.0002 0.0016 0.9776 0.0000 0.4987 431138.5000 44.0531 59095.1051 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.990000 0.0002 0.0010 0.9697 0.0000 0.4937 406559.0000 21.2044 55211.7412 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.800000 0.0004 0.0011 0.9485 0.0000 0.5195 408537.8000 1817.1842 303314.2422 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.900000 0.0004 0.0009 0.9539 0.0000 0.5008 407101.6000 2153.8842 333397.7125 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.990000 0.0002 0.0007 0.9779 0.0000 0.4907 406322.8000 2176.8401 223619.2938 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.800000 0.0001 0.0005 0.9883 0.0000 0.5148 408177.6000 2490.3861 443817.1234 37286.0000 36864.0000
