alpha mse_dense mse_conv1d mse_recurrent energy_dense energy_conv1d energy_recurrent
0.8000 0.9195 0.0000 0.0000 372346.6667 0.0000 0.0000
0.9000 0.9415 0.0000 0.0000 372432.0000 0.0000 0.0000
0.9900 1.1027 0.0000 0.0000 372407.3333 0.0000 0.0000
