alpha mse_dense mse_conv1d mse_recurrent energy_dense energy_conv1d energy_recurrent
0.8000 0.0000 0.6627 0.0000 0.0000 372329.0000 0.0000
0.9000 0.0000 0.6934 0.0000 0.0000 372393.6667 0.0000
0.9900 0.0000 0.8095 0.0000 0.0000 372292.6667 0.0000
