model,encoding,mse,mae,r2,f1
LSTM-AE,direct,0.647515,0.356700,0.352491,0.000000
LSTM-AE,latency,0.058431,0.091247,0.637500,0.000000
LSTM-AE,poisson,0.059558,0.074640,0.316342,0.000000
SNN-conv1d,direct,0.009740,0.061976,0.986724,0.001743
SNN-conv1d,latency,0.020940,0.054215,0.517649,0.001495
SNN-conv1d,poisson,0.043463,0.134738,-1.697510,0.207139
SNN-dense,direct,0.014383,0.076462,0.985614,0.000000
SNN-dense,latency,0.013036,0.044137,0.529301,0.005173
SNN-dense,poisson,0.062344,0.164923,-1.417536,0.281230
SNN-recurrent,direct,0.029619,0.040364,0.718402,0.000000
SNN-recurrent,latency,0.013200,0.046716,0.310758,0.000871
SNN-recurrent,poisson,0.059128,0.144787,-1.429006,0.223329
gru-ae,direct,0.656873,0.359970,0.343125,0.000000
gru-ae,latency,0.055139,0.088804,0.683687,0.000000
gru-ae,poisson,0.060169,0.078004,0.295290,0.000000
transformer-ae,direct,0.657042,0.350722,0.342885,0.000000
transformer-ae,latency,0.057424,0.087146,0.692358,0.000000
transformer-ae,poisson,0.052812,0.065715,0.468004,0.000000
