alpha mse_dense mse_conv1d mse_recurrent energy_dense energy_conv1d energy_recurrent
0.8000 0.0167 0.0096 0.0550 375022.2000 375493.4000 430373.3333
0.9000 0.0143 0.0096 0.0708 374351.2000 375307.6000 429984.0000
0.9900 0.0118 0.0083 0.0008 372965.8000 374880.4000 412825.6000
