model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
gru-ae direct gru 0.000000 0.000000 0.7419 0.4373 0.2581 0.0000 0.0000 8893440.0000 3421.5669 168774.4906 93032.0000 889344.0000
gru-ae latency gru 0.000000 0.000000 0.0760 0.1250 0.6120 0.0000 0.0000 8893440.0000 1398.8266 412359.4188 93032.0000 889344.0000
gru-ae poisson gru 0.000000 0.000000 0.0594 0.0729 0.2021 0.0000 0.0000 8893440.0000 1218.3284 292723.8125 93032.0000 889344.0000
lstm-ae direct lstm 0.000000 0.000000 0.7173 0.4520 0.2828 0.0000 0.0000 11842560.0000 887.7239 261661.6781 122472.0000 1184256.0000
lstm-ae latency lstm 0.000000 0.000000 0.0761 0.1095 0.6182 0.0000 0.0000 11842560.0000 878.8424 615347.9750 122472.0000 1184256.0000
lstm-ae poisson lstm 0.000000 0.000000 0.0598 0.0744 0.1923 0.0000 0.0000 11842560.0000 774.0515 220311.9500 122472.0000 1184256.0000
snn-ae direct conv1d 0.500000 0.800000 0.1439 0.2162 0.8115 0.3122 0.1610 381005.4000 13.6482 20763.9553 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.900000 0.1130 0.1899 0.8520 0.1342 0.1227 378061.4000 15.3332 33865.5205 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.990000 0.1134 0.1885 0.8514 0.0961 0.1078 376915.2000 15.2143 30605.3439 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.800000 0.1673 0.2397 0.7809 0.5140 0.2026 384199.6000 13.0542 27515.2260 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.900000 0.1388 0.2144 0.8182 0.3245 0.1680 381540.6000 13.4679 35806.2754 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.990000 0.1130 0.1904 0.8520 0.0898 0.1138 377377.0000 15.0162 20767.0516 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.800000 0.1488 0.2255 0.8051 0.3862 0.1954 383646.2000 14.0161 19678.8547 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.900000 0.1361 0.2129 0.8217 0.2962 0.1623 381105.8000 16.1068 19103.8967 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.990000 0.1123 0.1876 0.8529 0.0894 0.1083 376960.2000 12.8477 20062.9336 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.800000 0.1330 0.2131 0.8670 0.1497 0.1131 377324.6000 12.5507 23502.9172 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.900000 0.1267 0.2051 0.8733 0.1843 0.0977 376142.0000 11.8502 20282.0994 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.990000 0.1273 0.2035 0.8727 0.1085 0.0823 374963.0000 11.7698 21413.0727 37286.0000 36864.0000
