model,encoding,mse,mae,r2,f1
LSTM-AE,direct,0.948429,0.704444,0.051572,0.000000
LSTM-AE,latency,0.101859,0.211790,0.587181,0.000000
LSTM-AE,poisson,0.111836,0.223449,0.018029,0.000000
SNN-conv1d,direct,0.721913,0.626763,-0.000100,0.666667
SNN-conv1d,latency,0.084172,0.203391,0.614288,0.380247
SNN-conv1d,poisson,0.064609,0.183593,-0.045306,0.475309
