model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
gru-ae direct gru 0.000000 0.000000 0.6122 0.4013 0.3877 0.0000 0.0000 8893440.0000 1374.9960 134718.0750 93032.0000 889344.0000
gru-ae latency gru 0.000000 0.000000 0.0626 0.1000 0.6797 0.0000 0.0000 8893440.0000 1532.7005 716505.5750 93032.0000 889344.0000
gru-ae poisson gru 0.000000 0.000000 0.0524 0.0657 0.2717 0.0000 0.0000 8893440.0000 2135.4146 666600.6000 93032.0000 889344.0000
lstm-ae direct lstm 0.000000 0.000000 0.6766 0.4043 0.3232 0.0000 0.0000 11842560.0000 871.4748 230875.5688 122472.0000 1184256.0000
lstm-ae latency lstm 0.000000 0.000000 0.0669 0.1019 0.6634 0.0000 0.0000 11842560.0000 978.0359 682392.3750 122472.0000 1184256.0000
lstm-ae poisson lstm 0.000000 0.000000 0.0513 0.0658 0.2886 0.0000 0.0000 11842560.0000 1107.3168 491100.3875 122472.0000 1184256.0000
snn-ae direct conv1d 0.500000 0.800000 0.0933 0.1859 0.8756 0.0305 0.1540 380463.8000 11.6571 16202.5805 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.900000 0.0862 0.1752 0.8852 0.0078 0.1259 378305.8000 11.7691 17697.2061 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.990000 0.0857 0.1749 0.8858 0.0000 0.1021 376484.0000 18.1798 19513.2379 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.800000 0.1170 0.2068 0.8442 0.1647 0.1914 383337.2000 11.6438 15797.8225 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.900000 0.0948 0.1865 0.8737 0.0386 0.1518 380296.8000 18.9107 16696.2445 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.990000 0.0853 0.1746 0.8863 0.0000 0.1082 376950.0000 11.6288 19149.3393 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.800000 0.1087 0.2015 0.8551 0.1513 0.1957 383667.0000 11.6914 16939.3166 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.900000 0.1131 0.2045 0.8493 0.0890 0.1870 382999.0000 11.3621 16800.7313 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.990000 0.0847 0.1729 0.8872 0.0000 0.1080 376932.8000 16.0542 19537.9654 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.800000 0.1063 0.2033 0.8937 0.0462 0.1365 379123.8000 10.5677 16839.5658 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.900000 0.0988 0.1943 0.9012 0.0000 0.0978 376149.6000 14.4473 17286.7205 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.990000 0.0998 0.1962 0.9001 0.0078 0.0901 375563.2000 10.7017 15659.2842 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.800000 0.1215 0.2187 0.8785 0.1118 0.1659 381384.2000 10.8154 16314.5961 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.900000 0.1070 0.2031 0.8930 0.0680 0.1280 378469.0000 10.4615 20330.2553 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.990000 0.0990 0.1927 0.9010 0.0078 0.0839 375082.4000 10.6273 21469.3477 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.800000 0.1288 0.2253 0.8712 0.1120 0.1787 382366.4000 10.5093 17557.9822 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.900000 0.1082 0.2067 0.8918 0.0529 0.1417 379525.0000 10.6663 15542.2264 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.990000 0.0963 0.1901 0.9037 0.0000 0.0826 374981.6000 14.3229 20802.7090 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.800000 0.0641 0.1038 0.4299 0.0000 0.6033 414970.4000 795.5384 46845.9207 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.900000 0.0282 0.0589 0.7658 0.0000 0.5766 412920.0000 797.2125 51764.3367 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.990000 0.0147 0.0503 0.9159 0.0000 0.6139 415791.0000 819.7510 76232.3195 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.800000 0.0265 0.0540 0.6839 0.0000 0.5448 410479.8000 823.9418 59771.0445 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.900000 0.0194 0.0411 0.8017 0.0000 0.5536 411155.4000 816.4883 79714.9563 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.990000 0.0471 0.0744 0.5483 0.0000 0.5747 479272.7500 825.5614 89407.4448 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.800000 0.0155 0.0383 0.7718 0.0000 0.4732 404980.8000 810.7396 82855.1227 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.900000 0.0512 0.0735 0.3904 0.0000 0.5188 438630.8333 839.3086 92793.2767 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.990000 0.0256 0.0539 0.6894 0.0000 0.5595 440555.6667 830.0630 92795.7266 37286.0000 36864.0000
snn-ae latency conv1d 0.500000 0.800000 0.0265 0.0711 0.7140 0.0000 0.6354 417442.0000 14.6071 19757.5585 37286.0000 36864.0000
