# Batch convergence for: model=snn-ae encoding=direct architecture=conv1d v_th=1.5 alpha=0.99 run=5
batch_num epoch batch_loss
0 1 1.237576
1 1 1.079937
2 1 1.069148
3 1 1.143912
4 1 0.953086
5 1 0.916827
6 1 1.073551
7 1 0.974558
8 1 0.999689
9 1 0.871504
10 1 0.903391
11 1 0.815150
12 1 0.912372
13 1 0.686514
14 1 0.835504
15 1 0.986297
16 1 0.802052
17 1 0.793009
18 1 0.788179
19 1 0.797375
20 1 0.752039
21 1 0.736339
22 1 0.832927
23 1 0.779759
24 1 0.843367
25 1 0.775087
26 1 0.781225
27 1 0.746140
28 1 0.806144
29 1 0.759863
30 1 0.775481
31 1 0.761341
32 1 0.716849
33 1 0.820268
34 1 0.714631
35 1 0.738997
36 1 0.755819
37 1 0.732451
38 1 0.782825
39 1 0.695923
40 1 0.706708
41 1 0.769118
42 1 0.754393
43 1 0.738457
44 1 0.793100
45 1 0.670695
46 1 0.747602
47 1 0.696721
48 1 0.698865
49 1 0.800134
50 1 0.684588
51 1 0.757754
52 1 0.659442
53 1 0.715736
54 1 0.716876
55 1 0.693687
56 1 0.752728
57 1 0.715661
58 1 0.667589
59 1 0.706121
60 1 0.674026
61 1 0.655863
62 1 0.668158
63 1 0.676650
64 1 0.624264
65 1 0.627333
66 1 0.631602
67 1 0.628621
68 1 0.592341
69 1 0.587854
70 1 0.643532
71 1 0.656379
72 1 0.662412
73 1 0.625553
74 1 0.671911
75 1 0.601777
76 1 0.643452
77 1 0.604413
78 1 0.537291
79 1 0.527892
80 1 0.556718
81 1 0.593427
82 1 0.521289
83 1 0.517174
84 1 0.490183
85 1 0.493239
86 1 0.559236
87 1 0.470019
88 1 0.453862
89 1 0.760049
90 1 0.451147
91 1 0.448951
92 1 0.454893
93 1 0.447364
94 1 0.418739
95 1 0.478409
96 1 0.410519
97 1 0.465821
98 1 0.389781
99 1 0.587715
100 1 0.408057
101 1 0.366331
102 1 0.397619
103 1 0.339826
104 1 0.375594
105 1 0.459350
106 1 0.329816
107 1 0.431027
108 1 0.422002
109 1 0.322701
110 1 0.335789
111 1 0.310106
112 1 0.299665
113 1 0.288574
114 1 0.318123
115 1 0.298587
116 1 0.283953
117 1 0.259749
118 1 0.467028
119 1 0.290130
120 1 0.411504
121 1 0.262444
122 1 0.236386
123 1 0.309288
124 1 0.520208
125 1 0.464564
126 1 0.228094
127 1 0.367135
128 1 0.620492
129 1 0.227560
130 1 0.240328
131 1 0.212555
132 1 0.211035
133 1 0.247807
134 1 0.206166
135 1 0.303518
136 1 0.191766
137 1 0.223012
138 1 0.186095
139 1 0.218787
140 1 0.206302
141 1 0.245197
142 1 0.206547
143 1 0.210101
144 1 0.298154
145 1 0.489276
146 1 0.160451
147 1 0.185916
148 1 0.156639
149 1 0.167404
150 1 0.152681
151 1 0.257472
152 1 0.146157
153 1 0.312557
154 1 0.171666
155 1 0.158904
156 1 0.138365
157 1 0.181939
158 1 0.134908
159 1 0.183656
160 1 0.127848
161 1 0.137538
162 1 0.126748
163 1 0.126381
164 1 0.283987
165 1 0.116838
166 1 0.138591
167 1 0.297496
168 1 0.107805
169 1 0.204084
170 1 0.131177
171 1 0.727816
172 1 0.325137
173 1 0.118485
174 1 0.481012
175 1 0.106564
176 1 0.125489
177 1 0.092696
178 1 0.119822
179 1 0.101735
180 1 0.137598
181 1 0.091615
182 1 0.091380
183 1 0.097070
184 1 0.130326
185 1 0.082783
186 1 0.111122
187 1 0.103969
188 1 0.115792
189 1 0.401257
190 1 0.240191
191 1 0.463715
192 1 0.412437
193 1 0.086197
194 1 0.169892
195 1 0.241644
196 1 0.072216
197 1 0.259518
198 1 0.160549
199 1 0.171534
200 1 0.139157
201 1 0.090942
202 1 0.071121
203 1 0.129806
204 1 0.187777
205 1 0.080016
206 1 0.064636
207 1 0.074907
208 1 0.062608
209 1 0.087488
210 1 0.072351
211 1 0.107958
212 1 0.131873
213 1 0.075299
214 1 0.069364
215 1 0.136957
216 1 0.054692
217 1 0.137781
218 1 0.122654
219 1 0.263694
220 1 0.052898
221 1 0.137471
222 1 0.442997
223 1 0.056385
224 1 0.074302
225 1 0.102051
226 1 0.094050
227 1 0.062789
228 1 0.603851
229 1 0.221686
230 1 0.301682
231 1 0.198144
232 1 0.104217
233 1 0.277373
234 1 0.058003
235 1 0.054606
236 1 0.046739
237 1 0.041665
238 1 0.336295
239 1 0.415492
240 1 0.302902
241 1 0.172939
242 1 0.085271
243 1 0.037706
244 1 0.042329
245 1 0.038657
246 1 0.037826
247 1 0.035786
248 1 0.077155
249 1 0.120287
250 1 0.049001
