model,encoding,spike_rate,energy,param_count,macs
LSTM-AE,direct,0.000000,11842560.000000,122472.000000,1184256.000000
LSTM-AE,latency,0.000000,11842560.000000,122472.000000,1184256.000000
LSTM-AE,poisson,0.000000,11842560.000000,122472.000000,1184256.000000
SNN-conv1d,direct,0.138368,379266.688889,37286.000000,36864.000000
SNN-conv1d,latency,0.640046,438136.760000,37286.000000,36864.000000
SNN-conv1d,poisson,0.534066,409656.244444,37286.000000,36864.000000
SNN-dense,direct,0.114031,377397.555556,37286.000000,36864.000000
SNN-dense,latency,0.632313,417201.600000,37286.000000,36864.000000
SNN-dense,poisson,0.507102,407585.400000,37286.000000,36864.000000
SNN-recurrent,direct,0.533252,426618.220000,37286.000000,36864.000000
SNN-recurrent,latency,0.616699,416002.511111,37286.000000,36864.000000
SNN-recurrent,poisson,0.515462,423960.400000,37286.000000,36864.000000
gru-ae,direct,0.000000,8893440.000000,93032.000000,889344.000000
gru-ae,latency,0.000000,8893440.000000,93032.000000,889344.000000
gru-ae,poisson,0.000000,8893440.000000,93032.000000,889344.000000
transformer-ae,direct,0.000000,47554560.000000,139176.000000,4755456.000000
transformer-ae,latency,0.000000,47554560.000000,139176.000000,4755456.000000
transformer-ae,poisson,0.000000,47554560.000000,139176.000000,4755456.000000
