model,encoding,spike_rate,energy,param_count,macs
LSTM-AE,direct,0.000000,11842560.000000,122472.000000,1184256.000000
LSTM-AE,latency,0.000000,11842560.000000,122472.000000,1184256.000000
LSTM-AE,poisson,0.000000,11842560.000000,122472.000000,1184256.000000
SNN-conv1d,direct,0.077101,374561.377778,37286.000000,36864.000000
SNN-conv1d,latency,0.572929,433635.500000,37286.000000,36864.000000
SNN-conv1d,poisson,0.528033,412626.478261,37286.000000,36864.000000
SNN-dense,direct,0.052949,372706.466667,37286.000000,36864.000000
SNN-dense,latency,0.565882,412099.733333,37286.000000,36864.000000
SNN-dense,poisson,0.509310,417078.333333,37286.000000,36864.000000
SNN-recurrent,direct,0.501963,423730.260000,37286.000000,36864.000000
SNN-recurrent,latency,0.565759,412090.266667,37286.000000,36864.000000
SNN-recurrent,poisson,0.516583,411760.673913,37286.000000,36864.000000
gru-ae,direct,0.000000,8893440.000000,93032.000000,889344.000000
gru-ae,latency,0.000000,8893440.000000,93032.000000,889344.000000
gru-ae,poisson,0.000000,8893440.000000,93032.000000,889344.000000
transformer-ae,direct,0.000000,47554560.000000,139176.000000,4755456.000000
transformer-ae,latency,0.000000,47554560.000000,139176.000000,4755456.000000
transformer-ae,poisson,0.000000,47554560.000000,139176.000000,4755456.000000
