model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
gru-ae direct gru 0.000000 0.000000 0.6569 0.3600 0.3431 0.0000 0.0000 8893440.0000 1707.5706 186906.4031 93032.0000 889344.0000
gru-ae latency gru 0.000000 0.000000 0.0551 0.0888 0.6837 0.0000 0.0000 8893440.0000 1639.0736 472907.7000 93032.0000 889344.0000
gru-ae poisson gru 0.000000 0.000000 0.0602 0.0780 0.2953 0.0000 0.0000 8893440.0000 2069.7747 581168.5563 93032.0000 889344.0000
lstm-ae direct lstm 0.000000 0.000000 0.6475 0.3567 0.3525 0.0000 0.0000 11842560.0000 1144.4710 175732.6344 122472.0000 1184256.0000
lstm-ae latency lstm 0.000000 0.000000 0.0584 0.0912 0.6375 0.0000 0.0000 11842560.0000 1064.2670 445327.8812 122472.0000 1184256.0000
lstm-ae poisson lstm 0.000000 0.000000 0.0596 0.0746 0.3163 0.0000 0.0000 11842560.0000 1157.2640 682581.4938 122472.0000 1184256.0000
snn-ae direct conv1d 0.500000 0.800000 0.0112 0.0630 0.9848 0.0078 0.0887 375454.2000 13.9970 16248.8754 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.900000 0.0086 0.0608 0.9883 0.0000 0.0830 375016.8000 12.8098 9773.4336 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.990000 0.0100 0.0635 0.9864 0.0000 0.0886 375444.4000 16.1636 9679.6881 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.800000 0.0096 0.0631 0.9870 0.0000 0.0892 375493.4000 19.3031 9861.9441 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.900000 0.0096 0.0562 0.9869 0.0078 0.0868 375307.6000 32.0464 15490.9312 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.990000 0.0083 0.0602 0.9887 0.0000 0.0813 374880.4000 37.8036 10296.9514 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.800000 0.0118 0.0644 0.9839 0.0000 0.0993 376269.4000 12.5022 17455.0236 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.900000 0.0097 0.0659 0.9867 0.0000 0.0898 375537.6000 13.4082 9727.8107 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.990000 0.0089 0.0606 0.9879 0.0000 0.0814 374889.0000 12.5440 10480.1490 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.800000 0.0125 0.0715 0.9875 0.0000 0.0653 373652.6000 28.4368 9974.2770 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.900000 0.0162 0.0849 0.9838 0.0000 0.0809 374855.2000 11.6248 10603.9424 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.990000 0.0113 0.0637 0.9887 0.0000 0.0568 373001.6000 12.4101 9950.3502 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.800000 0.0167 0.0848 0.9833 0.0000 0.0831 375022.2000 11.8418 9446.0002 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.900000 0.0143 0.0774 0.9857 0.0000 0.0744 374351.2000 11.5710 9373.5469 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.990000 0.0118 0.0683 0.9882 0.0000 0.0563 372965.8000 18.7584 10211.6863 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.800000 0.0181 0.0897 0.9819 0.0000 0.0891 375483.6000 14.2593 9510.3607 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.900000 0.0128 0.0699 0.9872 0.0000 0.0665 373745.6000 11.7722 9541.9352 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.990000 0.0157 0.0780 0.9843 0.0000 0.0672 373798.8000 11.3892 9594.8682 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.800000 0.0003 0.0101 0.9971 0.0000 0.6680 419940.0000 992.7078 131294.0484 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.900000 0.0013 0.0182 0.9877 0.0000 0.4949 406649.0000 970.2170 107303.4359 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.990000 0.0007 0.0078 0.9962 0.0000 0.5982 414585.2000 990.4362 79439.7000 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.800000 0.0550 0.0657 0.5574 0.0000 0.4689 430373.3333 1055.3023 111356.4681 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.900000 0.0708 0.0731 0.4291 0.0000 0.4646 429984.0000 1136.4623 97820.6478 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.990000 0.0008 0.0047 0.9938 0.0000 0.5753 412825.6000 1072.0207 135751.7086 37286.0000 36864.0000
