alpha mse_dense mse_conv1d mse_recurrent energy_dense energy_conv1d energy_recurrent
0.8000 0.1578 0.1673 0.0314 380566.2000 384199.6000 409081.8000
0.9000 0.1336 0.1388 0.0139 378226.6000 381540.6000 413013.6000
0.9900 0.1285 0.1130 0.0403 375838.2000 377377.0000 479376.5000
