model,mse,mae,r2,spike_rate,energy,infer_ms,train_ms,param_count,macs
LSTM-AE,0.007224,0.016266,0.882990,0.000000,11842560.000000,1310.208236,311283.992708,122472.000000,1184256.000000
SNN-conv1d,0.018178,0.054008,-0.039039,0.374215,400962.304348,24.519805,41592.331656,37286.000000,36864.000000
SNN-dense,0.022126,0.060348,0.189334,0.360525,401875.721429,24.889807,35416.784389,37286.000000,36864.000000
SNN-recurrent,0.020536,0.054571,-0.348085,0.489456,412636.056338,1451.208809,148576.677872,37286.000000,36864.000000
gru-ae,0.003587,0.010335,0.894374,0.000000,8893440.000000,2158.204842,470284.976042,93032.000000,889344.000000
transformer-ae,0.001193,0.004530,0.980946,0.000000,47554560.000000,345.844094,118879.407031,139176.000000,4755456.000000
