model,encoding,mse,mae,r2,f1
LSTM-AE,direct,0.676607,0.404260,0.323208,0.000000
LSTM-AE,latency,0.066900,0.101901,0.663447,0.000000
LSTM-AE,poisson,0.051272,0.065758,0.288606,0.000000
SNN-conv1d,direct,0.096534,0.186981,0.871380,0.053548
SNN-conv1d,latency,0.038386,0.087650,0.614125,0.000000
SNN-conv1d,poisson,0.056604,0.155011,-1.987319,0.258205
SNN-dense,direct,0.107307,0.203356,0.892688,0.045166
SNN-dense,latency,0.042089,0.090705,0.585395,0.000000
SNN-dense,poisson,0.071743,0.172323,-1.271115,0.279228
SNN-recurrent,direct,0.033574,0.061837,0.654212,0.000000
SNN-recurrent,latency,0.045857,0.099850,0.483588,0.000772
SNN-recurrent,poisson,0.068346,0.158308,-1.321999,0.258889
gru-ae,direct,0.612209,0.401299,0.387673,0.000000
gru-ae,latency,0.062572,0.099972,0.679658,0.000000
gru-ae,poisson,0.052370,0.065690,0.271737,0.000000
transformer-ae,direct,0.490973,0.373949,0.508872,0.000000
transformer-ae,latency,0.062813,0.102511,0.672831,0.000000
transformer-ae,poisson,0.048162,0.055689,0.358874,0.000000
