alpha mse_dense mse_conv1d mse_recurrent energy_dense energy_conv1d energy_recurrent
0.8000 0.1215 0.1170 0.0265 381384.2000 383337.2000 410479.8000
0.9000 0.1070 0.0948 0.0194 378469.0000 380296.8000 411155.4000
0.9900 0.0990 0.0853 0.0471 375082.4000 376950.0000 479272.7500
