epoch,train_loss,train_acc,val_acc
1,0.35737136938682523,0.34277238403452,0.4099244875943905
2,0.40768661609616735,0.3994066882416397,0.42179072276159657
3,0.392549238126512,0.4266450916936354,0.39805825242718446
4,0.41661312144165286,0.401024811218986,0.4120819848975189
5,0.40112178688296224,0.4085760517799353,0.44336569579288027
6,0.40142628987758805,0.41019417475728154,0.4228694714131607
7,0.3969433168441604,0.4174757281553398,0.3667745415318231
8,0.4105228128428084,0.4110032362459547,0.43905070118662354
9,0.37194015897464855,0.4139697950377562,0.42826321467098166
10,0.37173243894160374,0.41585760517799353,0.41639697950377563
11,0.358607932201867,0.45361380798274004,0.41639697950377563
12,0.37126539482010734,0.4266450916936354,0.4854368932038835
13,0.37192036865727157,0.4306903991370011,0.39374325782092773
14,0.38381843222254947,0.43284789644012944,0.43473570658036675
15,0.38642837462430374,0.4344660194174757,0.47249190938511326
16,0.382117198058831,0.43851132686084143,0.45738942826321466
17,0.37239260153348647,0.4525350593311758,0.4336569579288026
18,0.37356813475409245,0.44660194174757284,0.44660194174757284
19,0.3725062316482507,0.4563106796116505,0.4811218985976268
20,0.3687374991442136,0.4627831715210356,0.49730312837108953
21,0.3683977046059173,0.459546925566343,0.49514563106796117
22,0.36023294211977125,0.4563106796116505,0.45738942826321466
23,0.37329844286526676,0.44390507011866237,0.4563106796116505
24,0.3710787190202756,0.4377022653721683,0.43473570658036675
25,0.375701741525399,0.43527508090614886,0.4153182308522114
26,0.37165167120796705,0.4511866235167206,0.45738942826321466
27,0.36625693617900984,0.4571197411003236,0.46817691477885653
28,0.36838873372108805,0.43527508090614886,0.47357065803667747
29,0.3580220792735922,0.4665587918015103,0.44660194174757284
30,0.39584990155992644,0.4355447680690399,0.4487594390507012
