rank,configuration,mean_d_penalized,mean_d_truth,std_d_truth,mean_alpha,mean_beta
74,Daubechies 32 + MEL (c2),1.6205,1.4913,0.0000,0.3728,0.8477
75,Daubechies 26 + MEL (c2),1.6207,1.4898,0.0000,0.3753,0.8482
76,Daubechies 22 + MEL (c2),1.6211,1.4929,0.0000,0.3710,0.8478
77,Daubechies 42 + LFCC (c2),1.6213,1.4934,0.0000,0.3705,0.8479
78,Daubechies 30 + MEL (c2),1.6215,1.4942,0.0000,0.3695,0.8478
79,Daubechies 26 + LFCC (c2),1.6216,1.4958,0.0000,0.3673,0.8475
80,Daubechies 18 + MEL (c2),1.6216,1.4896,0.0000,0.3765,0.8489
81,Daubechies 20 + MEL (c2),1.6216,1.4968,0.0000,0.3658,0.8473
82,Daubechies 24 + MEL (c2),1.6218,1.4936,0.0000,0.3708,0.8482
83,Daubechies 30 + LFCC (c2),1.6220,1.4966,0.0000,0.3664,0.8476
84,Daubechies 16 + MEL (c2),1.6221,1.4917,0.0000,0.3737,0.8488
85,Daubechies 40 + MEL (c2),1.6222,1.4941,0.0000,0.3704,0.8484
86,Daubechies 32 + LFCC (c2),1.6225,1.4998,0.0000,0.3622,0.8473
87,Daubechies 34 + MEL (c2),1.6227,1.4941,0.0000,0.3709,0.8487
88,Daubechies 42 + MEL (c2),1.6229,1.4944,0.0000,0.3705,0.8488
89,Daubechies 46 + LFCC (c2),1.6233,1.5001,0.0000,0.3626,0.8478
90,Daubechies 38 + LFCC (c2),1.6233,1.4995,0.0000,0.3634,0.8480
91,Daubechies 40 + LFCC (c2),1.6234,1.5010,0.0000,0.3612,0.8476
92,Daubechies 28 + MEL (c2),1.6235,1.4968,0.0000,0.3676,0.8487
93,Daubechies 20 + LFCC (c2),1.6238,1.5036,0.0000,0.3578,0.8474
94,Daubechies 36 + LFCC (c2),1.6239,1.4976,0.0000,0.3668,0.8488
95,Daubechies 36 + MEL (c2),1.6242,1.4949,0.0000,0.3711,0.8496
96,Daubechies 34 + LFCC (c2),1.6244,1.5015,0.0000,0.3615,0.8483
97,Daubechies 38 + MEL (c2),1.6250,1.4992,0.0000,0.3656,0.8492
98,Daubechies 16 + LFCC (c2),1.6251,1.5008,0.0000,0.3632,0.8489
99,Daubechies 46 + MEL (c2),1.6253,1.5025,0.0000,0.3609,0.8487
100,Daubechies 28 + LFCC (c2),1.6253,1.5065,0.0000,0.3550,0.8478
101,Daubechies 44 + MEL (c2),1.6254,1.4997,0.0000,0.3651,0.8494
102,Daubechies 44 + LFCC (c2),1.6254,1.5035,0.0000,0.3595,0.8486
103,Daubechies 22 + BARK (c2),1.6257,1.5017,0.0000,0.3624,0.8492
104,Daubechies 24 + LFCC (c2),1.6257,1.5065,0.0000,0.3554,0.8481
105,Daubechies 14 + MEL (c2),1.6257,1.4997,0.0000,0.3655,0.8497
106,Daubechies 32 + BARK (c2),1.6260,1.5064,0.0000,0.3558,0.8483
107,Daubechies 30 + BARK (c2),1.6269,1.5055,0.0000,0.3580,0.8492
108,Daubechies 26 + BARK (c2),1.6270,1.5073,0.0000,0.3555,0.8489
109,Daubechies 18 + LFCC (c2),1.6271,1.5077,0.0000,0.3550,0.8489
110,Daubechies 42 + BARK (c2),1.6272,1.5039,0.0000,0.3607,0.8498
111,Daubechies 24 + BARK (c2),1.6275,1.5087,0.0000,0.3539,0.8489
112,Daubechies 14 + LFCC (c2),1.6278,1.5105,0.0000,0.3515,0.8487
113,Daubechies 34 + BARK (c2),1.6281,1.5078,0.0000,0.3557,0.8495
114,Daubechies 12 + MEL (c2),1.6281,1.5078,0.0000,0.3558,0.8496
115,Daubechies 12 + LFCC (c2),1.6287,1.5104,0.0000,0.3525,0.8494
116,Daubechies 36 + BARK (c2),1.6289,1.5079,0.0000,0.3564,0.8501
117,Daubechies 46 + BARK (c2),1.6289,1.5099,0.0000,0.3535,0.8497
118,Daubechies 20 + BARK (c2),1.6293,1.5131,0.0000,0.3492,0.8492
119,Daubechies 40 + BARK (c2),1.6293,1.5107,0.0000,0.3528,0.8498
120,Daubechies 44 + BARK (c2),1.6300,1.5096,0.0000,0.3550,0.8505
121,Daubechies 28 + BARK (c2),1.6312,1.5167,0.0000,0.3457,0.8498
122,Daubechies 4 + MEL (c2),1.6313,1.5352,0.0000,0.3189,0.8453
123,Daubechies 38 + BARK (c2),1.6321,1.5158,0.0000,0.3479,0.8506
124,Daubechies 16 + BARK (c2),1.6327,1.5172,0.0000,0.3464,0.8507
125,Daubechies 14 + BARK (c2),1.6330,1.5154,0.0000,0.3493,0.8514
126,Daubechies 12 + BARK (c2),1.6337,1.5160,0.0000,0.3492,0.8518
127,Daubechies 18 + BARK (c2),1.6342,1.5205,0.0000,0.3430,0.8511
128,Daubechies 4 + LFCC (c2),1.6361,1.5447,0.0000,0.3096,0.8464
129,Daubechies 4 + BARK (c2),1.6373,1.5391,0.0000,0.3189,0.8488
130,Daubechies 10 + MEL (c2),1.6427,1.5415,0.0000,0.3204,0.8522
131,Daubechies 8 + MEL (c2),1.6452,1.5525,0.0000,0.3069,0.8513
132,Daubechies 10 + LFCC (c2),1.6459,1.5547,0.0000,0.3044,0.8513
133,Daubechies 8 + LFCC (c2),1.6477,1.5585,0.0000,0.3006,0.8516
134,Daubechies 10 + BARK (c2),1.6490,1.5489,0.0000,0.3157,0.8551
135,Daubechies 6 + MEL (c2),1.6541,1.5702,0.0000,0.2898,0.8534
136,Daubechies 8 + BARK (c2),1.6544,1.5676,0.0000,0.2937,0.8543
137,Daubechies 6 + LFCC (c2),1.6557,1.5758,0.0000,0.2833,0.8531
138,Daubechies 6 + BARK (c2),1.6571,1.5689,0.0000,0.2945,0.8561
