Total Profiles,754
Successful,562
Failed,192
Success Rate %,74.535809
Best Mean Val Loss,0.704623
Worst Mean Val Loss,1.015340
Avg Mean Val Loss,0.854936
Median Mean Val Loss,0.868075
StdDev Mean Val Loss,0.128942
audio-window - Best,0.704623
audio-window - Count,526
eeg-window - Best,0.753174
eeg-window - Count,36
