Rank,Profile,Modality,Loss Type,LR,BS,HS,LS,Final Train Loss,Final Val Loss,Mean Val Loss,Best Val Loss,Epochs,Status,Error
36,20260413_045043_audio-window-snn_grid_139_lr0_0003_bs64_hs128_ls16_mae,audio-window,mae,0.0003,64,128,16,0.708088,0.707069,0.707069,0.707069,8,Success,
37,20260413_025757_audio-window-snn_grid_255_lr0_0010_bs32_hs32_ls32_mae,audio-window,mae,0.0010,32,32,32,0.713884,0.707113,0.707113,0.707113,8,Success,
38,20260413_030006_audio-window-snn_grid_261_lr0_0010_bs32_hs64_ls32_mae,audio-window,mae,0.0010,32,64,32,0.713884,0.707113,0.707113,0.707113,8,Success,
39,20260413_030258_audio-window-snn_grid_267_lr0_0010_bs32_hs128_ls32_mae,audio-window,mae,0.0010,32,128,32,0.713884,0.707113,0.707113,0.707113,8,Success,
40,20260413_030458_audio-window-snn_grid_273_lr0_0010_bs64_hs32_ls32_mae,audio-window,mae,0.0010,64,32,32,0.713884,0.707113,0.707113,0.707113,8,Success,
41,20260413_030736_audio-window-snn_grid_279_lr0_0010_bs64_hs64_ls32_mae,audio-window,mae,0.0010,64,64,32,0.713884,0.707113,0.707113,0.707113,8,Success,
42,20260413_030938_audio-window-snn_grid_285_lr0_0010_bs64_hs128_ls32_mae,audio-window,mae,0.0010,64,128,32,0.713884,0.707113,0.707113,0.707113,8,Success,
43,20260413_072348_audio-window-snn_grid_255_lr0_0010_bs32_hs32_ls32_mae,audio-window,mae,0.0010,32,32,32,0.713884,0.707113,0.707113,0.707113,8,Success,
44,20260413_073353_audio-window-snn_grid_261_lr0_0010_bs32_hs64_ls32_mae,audio-window,mae,0.0010,32,64,32,0.713884,0.707113,0.707113,0.707113,8,Success,
45,20260413_074357_audio-window-snn_grid_267_lr0_0010_bs32_hs128_ls32_mae,audio-window,mae,0.0010,32,128,32,0.713884,0.707113,0.707113,0.707113,8,Success,
46,20260413_075402_audio-window-snn_grid_273_lr0_0010_bs64_hs32_ls32_mae,audio-window,mae,0.0010,64,32,32,0.713884,0.707113,0.707113,0.707113,8,Success,
47,20260413_080403_audio-window-snn_grid_279_lr0_0010_bs64_hs64_ls32_mae,audio-window,mae,0.0010,64,64,32,0.713884,0.707113,0.707113,0.707113,8,Success,
48,20260413_081405_audio-window-snn_grid_285_lr0_0010_bs64_hs128_ls32_mae,audio-window,mae,0.0010,64,128,32,0.713884,0.707113,0.707113,0.707113,8,Success,
49,20260413_022743_audio-window-snn_grid_165_lr0_0005_bs16_hs32_ls32_mae,audio-window,mae,0.0005,16,32,32,0.712821,0.707847,0.707847,0.707847,8,Success,
50,20260413_022846_audio-window-snn_grid_171_lr0_0005_bs16_hs64_ls32_mae,audio-window,mae,0.0005,16,64,32,0.712821,0.707847,0.707847,0.707847,8,Success,
51,20260413_023108_audio-window-snn_grid_177_lr0_0005_bs16_hs128_ls32_mae,audio-window,mae,0.0005,16,128,32,0.712821,0.707847,0.707847,0.707847,8,Success,
52,20260413_052001_audio-window-snn_grid_165_lr0_0005_bs16_hs32_ls32_mae,audio-window,mae,0.0005,16,32,32,0.712821,0.707847,0.707847,0.707847,8,Success,
53,20260413_052718_audio-window-snn_grid_171_lr0_0005_bs16_hs64_ls32_mae,audio-window,mae,0.0005,16,64,32,0.712821,0.707847,0.707847,0.707847,8,Success,
