Rank,Loss Type,LR,BS,HS,LS,Final Train Loss,Mean Val Loss,Best Val Loss,Epochs
96,mae,0.0010,64,32,16,0.713299,0.709691,0.709691,8
97,mae,0.0010,64,64,16,0.713299,0.709691,0.709691,8
98,mae,0.0010,64,128,16,0.713299,0.709691,0.709691,8
99,mae,0.0003,16,32,16,0.710585,0.709903,0.709903,8
100,mae,0.0003,16,64,16,0.710585,0.709903,0.709903,8
101,mae,0.0003,16,128,16,0.710585,0.709903,0.709903,8
102,mae,0.0003,16,32,16,0.710585,0.709903,0.709903,8
103,mae,0.0003,16,64,16,0.710585,0.709903,0.709903,8
104,mae,0.0003,16,128,16,0.710585,0.709903,0.709903,8
105,mae,0.0005,32,32,32,0.709459,0.710406,0.710406,8
106,mae,0.0005,32,64,32,0.709459,0.710406,0.710406,8
107,mae,0.0005,32,128,32,0.709459,0.710406,0.710406,8
108,mae,0.0005,64,32,32,0.709459,0.710406,0.710406,8
109,mae,0.0005,64,64,32,0.709459,0.710406,0.710406,8
110,mae,0.0005,64,128,32,0.709459,0.710406,0.710406,8
111,mae,0.0005,32,32,32,0.709459,0.710406,0.710406,8
112,mae,0.0005,32,64,32,0.709459,0.710406,0.710406,8
113,mae,0.0005,32,128,32,0.709459,0.710406,0.710406,8
114,mae,0.0005,64,32,32,0.709459,0.710406,0.710406,8
115,mae,0.0005,64,64,32,0.709459,0.710406,0.710406,8
116,mae,0.0005,64,128,32,0.709459,0.710406,0.710406,8
117,mae,0.0010,16,32,32,0.705786,0.710476,0.710476,8
118,mae,0.0010,16,64,32,0.705786,0.710476,0.710476,8
119,mae,0.0010,16,128,32,0.705786,0.710476,0.710476,8
120,mae,0.0010,16,32,32,0.705786,0.710476,0.710476,8
121,mae,0.0010,16,64,32,0.705786,0.710476,0.710476,8
122,mae,0.0010,16,128,32,0.705786,0.710476,0.710476,8
123,mae,0.0001,32,32,16,0.710071,0.710961,0.710961,8
124,mae,0.0001,32,64,16,0.710071,0.710961,0.710961,8
125,mae,0.0001,32,128,16,0.710071,0.710961,0.710961,8
126,mae,0.0001,64,32,16,0.710071,0.710961,0.710961,8
