Rank,Profile,Profile Signature,Modality,Loss Type,LR,BS,HS,LS,Final Train Loss,Final Val Loss,Mean Val Loss,Best Val Loss,Epochs,Status,Error,Duplicate Runs
25,20260413_022743_audio-window-snn_grid_165_lr0_0005_bs16_hs32_ls32_mae,audio-window-snn_grid_165_lr0_0005_bs16_hs32_ls32_mae,audio-window,mae,0.0005,16,32,32,0.712821,0.707847,0.707847,0.707847,8,Success,,2
26,20260413_022846_audio-window-snn_grid_171_lr0_0005_bs16_hs64_ls32_mae,audio-window-snn_grid_171_lr0_0005_bs16_hs64_ls32_mae,audio-window,mae,0.0005,16,64,32,0.712821,0.707847,0.707847,0.707847,8,Success,,2
27,20260413_023108_audio-window-snn_grid_177_lr0_0005_bs16_hs128_ls32_mae,audio-window-snn_grid_177_lr0_0005_bs16_hs128_ls32_mae,audio-window,mae,0.0005,16,128,32,0.712821,0.707847,0.707847,0.707847,8,Success,,2
28,20260413_020921_audio-window-snn_grid_111_lr0_0003_bs32_hs32_ls32_mae,audio-window-snn_grid_111_lr0_0003_bs32_hs32_ls32_mae,audio-window,mae,0.0003,32,32,32,0.710367,0.708554,0.708554,0.708554,8,Success,,2
29,20260413_021155_audio-window-snn_grid_117_lr0_0003_bs32_hs64_ls32_mae,audio-window-snn_grid_117_lr0_0003_bs32_hs64_ls32_mae,audio-window,mae,0.0003,32,64,32,0.710367,0.708554,0.708554,0.708554,8,Success,,2
30,20260413_021419_audio-window-snn_grid_123_lr0_0003_bs32_hs128_ls32_mae,audio-window-snn_grid_123_lr0_0003_bs32_hs128_ls32_mae,audio-window,mae,0.0003,32,128,32,0.710367,0.708554,0.708554,0.708554,8,Success,,2
31,20260413_021637_audio-window-snn_grid_129_lr0_0003_bs64_hs32_ls32_mae,audio-window-snn_grid_129_lr0_0003_bs64_hs32_ls32_mae,audio-window,mae,0.0003,64,32,32,0.710367,0.708554,0.708554,0.708554,8,Success,,2
32,20260413_021909_audio-window-snn_grid_135_lr0_0003_bs64_hs64_ls32_mae,audio-window-snn_grid_135_lr0_0003_bs64_hs64_ls32_mae,audio-window,mae,0.0003,64,64,32,0.710367,0.708554,0.708554,0.708554,8,Success,,2
33,20260413_022209_audio-window-snn_grid_141_lr0_0003_bs64_hs128_ls32_mae,audio-window-snn_grid_141_lr0_0003_bs64_hs128_ls32_mae,audio-window,mae,0.0003,64,128,32,0.710367,0.708554,0.708554,0.708554,8,Success,,2
34,20260413_013103_audio-window-snn_grid_041_lr0_0001_bs32_hs32_ls64_mae,audio-window-snn_grid_041_lr0_0001_bs32_hs32_ls64_mae,audio-window,mae,0.0001,32,32,64,0.710900,0.709470,0.709470,0.709470,8,Success,,1
35,20260413_014106_audio-window-snn_grid_047_lr0_0001_bs32_hs64_ls64_mae,audio-window-snn_grid_047_lr0_0001_bs32_hs64_ls64_mae,audio-window,mae,0.0001,32,64,64,0.710900,0.709470,0.709470,0.709470,8,Success,,1
36,20260413_015217_audio-window-snn_grid_053_lr0_0001_bs32_hs128_ls64_mae,audio-window-snn_grid_053_lr0_0001_bs32_hs128_ls64_mae,audio-window,mae,0.0001,32,128,64,0.710900,0.709470,0.709470,0.709470,8,Success,,2
37,20260413_015236_audio-window-snn_grid_059_lr0_0001_bs64_hs32_ls64_mae,audio-window-snn_grid_059_lr0_0001_bs64_hs32_ls64_mae,audio-window,mae,0.0001,64,32,64,0.710900,0.709470,0.709470,0.709470,8,Success,,2
