Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
lstm-ae,direct,1,0.948429,0.704444,0.0515718,0,0,1.18426e+07,117814
lstm-ae,latency,1,0.101859,0.21179,0.587181,0,0,1.18426e+07,93015.2
lstm-ae,poisson,1,0.111836,0.223449,0.0180292,0,0,1.18426e+07,106200
snn-ae,direct,2,0.990592,0.748153,0.00940838,0.666667,0.483565,372354,4447.75
snn-ae,latency,2,0.113029,0.233129,0.541912,0.644445,0.882923,375421,3591.7
snn-ae,poisson,2,0.123203,0.22811,-0.0818457,0.638272,0.962336,376031,3917.17
