backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,0.500000,0.990000,3,44,7096950814052064792,0.113275,0.181725,0.000615,0.000000,0.000000,0.000000,0.963021,376036.000000,14732.840820,132.489548,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.000000,0.800000,3,44,7096950814052064792,0.142464,0.191502,-0.114881,0.000000,0.000000,0.000000,0.941797,375873.000000,7251.719727,83.621964,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.000000,0.900000,3,44,7096950814052064792,0.139378,0.208998,-0.120635,0.000000,0.000000,0.000000,0.912109,375645.000000,12059.701172,91.793030,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.000000,0.990000,3,44,7096950814052064792,0.071768,0.106814,0.006522,0.000000,0.000000,0.000000,0.988281,376230.000000,9883.824219,81.677567,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.500000,0.800000,3,44,7096950814052064792,0.093392,0.145871,-0.036496,0.000000,0.000000,0.000000,0.971875,376104.000000,11688.292969,84.029694,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.500000,0.900000,3,44,7096950814052064792,0.093744,0.128029,-0.042853,0.000000,0.000000,0.000000,0.992188,376260.000000,7580.666992,88.275513,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.500000,0.990000,3,44,7096950814052064792,0.051023,0.073332,0.006377,0.000000,0.000000,0.000000,0.941406,375870.000000,8070.367676,79.586502,37286,36864
xtensor,article_snn_recurrent,fsdd,lstm-ae,poisson,lstm,1,0.000000,0.000000,1,42,7096950814052064792,0.118887,0.273788,-0.040013,0.000000,0.000000,0.000000,0.000000,85238400.000000,361281.093750,2329.141357,120225,8523840
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,0.500000,0.800000,1,42,7096950814052064792,0.153830,0.211722,-0.122403,0.000000,0.000000,0.000000,0.938672,375849.000000,15921.746094,123.686714,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,0.500000,0.900000,1,42,7096950814052064792,0.177825,0.232401,-0.130817,0.000000,0.000000,0.000000,0.985156,376206.000000,11733.889648,115.166710,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,0.500000,0.990000,1,42,7096950814052064792,0.233943,0.290145,-0.244644,0.000000,0.000000,0.000000,0.924349,375739.000000,8462.347656,121.268227,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.000000,0.800000,1,42,7096950814052064792,0.082824,0.116562,-0.035864,0.000000,0.000000,0.000000,0.996094,376290.000000,10088.645508,136.837753,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.000000,0.900000,1,42,7096950814052064792,0.096067,0.125660,-0.055250,0.000000,0.000000,0.000000,0.984375,376200.000000,12766.627930,255.664459,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.000000,0.990000,1,42,7096950814052064792,0.116739,0.169697,-0.067322,0.000000,0.000000,0.000000,0.974089,376121.000000,13138.574219,112.782806,37286,36864
