Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
lstm-ae,direct,1,0.948429,0.704444,0.0515718,0,0,1.18426e+07,108832
lstm-ae,latency,1,0.101859,0.21179,0.587181,0,0,1.18426e+07,62535.7
lstm-ae,poisson,1,0.111836,0.223449,0.0180292,0,0,1.18426e+07,113038
snn-ae,direct,2,0.721913,0.626763,-0.000100421,0.666667,0.481727,372340,3961.65
snn-ae,latency,2,0.0841725,0.203391,0.614288,0.380247,0.884867,375436,2512.98
snn-ae,poisson,2,0.0646087,0.183593,-0.0453062,0.475309,0.990119,376244,4791.2
