Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
lstm-ae,direct,1,0.948429,0.704444,0.0515718,0,0,1.18426e+07,86546.6
lstm-ae,latency,1,0.101859,0.21179,0.587181,0,0,1.18426e+07,58212.3
lstm-ae,poisson,1,0.111836,0.223449,0.0180292,0,0,1.18426e+07,64813.2
snn-ae,direct,2,0.114914,0.230024,0.0163178,0.469136,0.876664,375373,13449.4
snn-ae,latency,2,0.110794,0.22933,0.489855,0.549383,0.876881,375374,14424.7
snn-ae,poisson,2,0.110563,0.210237,-0.0566139,0.265432,0.970573,376094,10111.9
