model,encoding,architecture,v_th,alpha,run_id,seed,cv_fold,split,speaker_id,recording_id,window_id,source_window_index,mse,mae
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,150,2821,0,0.02406330,0.11911276
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,151,2835,0,0.01450933,0.08848737
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,152,2850,0,0.00600108,0.05947922
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,153,2865,0,0.01374490,0.07755493
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,154,2883,0,0.03110999,0.13444124
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,155,2901,0,0.01232768,0.08005293
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,156,2916,0,0.00670513,0.06427196
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,157,2931,0,0.01983945,0.10208067
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,158,2948,0,0.02366143,0.11238848
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,159,2964,0,0.01901894,0.10310468
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,160,2979,0,0.03224962,0.13653117
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,161,2997,0,0.04601690,0.16072355
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,162,3012,0,0.01080092,0.07805880
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,163,3024,0,0.00435056,0.05195020
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,164,3039,0,0.00658839,0.05970376
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,165,3055,0,0.00850383,0.07202166
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,166,3068,0,0.03396545,0.14784202
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,167,3083,0,0.01760016,0.10007864
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,168,3097,0,0.02684773,0.12669571
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,169,3111,0,0.03168077,0.13174722
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,170,3125,0,0.02882985,0.12686244
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,171,3140,0,0.01083541,0.07926030
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,172,3156,0,0.02689824,0.12491897
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,173,3170,0,0.02242620,0.10724067
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,174,3188,0,0.02442999,0.12487054
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,175,3203,0,0.02879917,0.13757175
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,176,3215,0,0.04108004,0.15731764
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,177,3227,0,0.02018977,0.11572068
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,178,3239,0,0.01480049,0.08797862
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,179,3251,0,0.01983750,0.11297356
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,180,3263,0,0.02306562,0.11983034
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,181,3274,0,0.06625320,0.19270495
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,182,3285,0,0.02893364,0.12156608
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,183,3296,0,0.01034740,0.07935668
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,184,3310,0,0.01702775,0.09968499
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,185,3326,0,0.01227914,0.08223267
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,186,3341,0,0.01155171,0.08577725
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,187,3356,0,0.00811852,0.06962582
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,188,3371,0,0.03388494,0.14365707
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,189,3386,0,0.01254146,0.08865203
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,190,3400,0,0.05082415,0.18033576
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,191,3416,0,0.02584378,0.12882586
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,192,3431,0,0.02353912,0.11892483
lstm-ae,,lstm,0.00000000,0.00000000,1,42,2,val,3,193,3446,0,0.02403196,0.12353129
