Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
gru-ae,direct,1,0.670681,0.369372,0.329378,0,0,8.89344e+06,335401
gru-ae,latency,1,0.0689028,0.104519,0.66128,0,0,8.89344e+06,287172
gru-ae,poisson,1,0.0617196,0.0746545,0.299632,0,0,8.89344e+06,483245
lstm-ae,direct,1,0.665454,0.366688,0.334606,0,0,1.18426e+07,325002
lstm-ae,latency,1,0.0688302,0.0952397,0.663907,0,0,1.18426e+07,533537
lstm-ae,poisson,1,0.0623991,0.077005,0.282319,0,0,1.18426e+07,320588
snn-ae,direct,2,0.00712074,0.0473747,0.990478,0.0434054,0.0771013,374561,15372.5
snn-ae,direct,2,0.0162561,0.0604436,0.983744,0.0417295,0.0529488,372706,14097.9
snn-ae,direct,2,0.0225357,0.0340266,0.743849,0.0109804,0.501963,423730,100924
snn-ae,latency,2,0.0225518,0.0509416,0.42865,0.0184917,0.572929,433635,15904.4
snn-ae,latency,2,0.0118306,0.0353628,0.462471,0.0248366,0.565882,412100,17812
snn-ae,latency,2,0.0116196,0.032781,0.292333,0.0162393,0.565759,412090,88537.2
snn-ae,poisson,2,0.050435,0.14287,-1.88019,0.241775,0.528033,412627,44650.6
snn-ae,poisson,2,0.0691669,0.168469,-1.32912,0.259995,0.50931,417078,33324.4
snn-ae,poisson,2,0.061705,0.150998,-1.44185,0.248714,0.516583,411761,96470.6
transformer-ae,direct,1,0.676538,0.365712,0.323521,0,0,4.75546e+07,54153.1
transformer-ae,latency,1,0.0686524,0.0993399,0.675895,0,0,4.75546e+07,105004
transformer-ae,poisson,1,0.0565209,0.064407,0.425491,0,0,4.75546e+07,290748
