Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
gru-ae,direct,1,0.656873,0.35997,0.343125,0,0,8.89344e+06,186906
gru-ae,latency,1,0.0551391,0.0888042,0.683687,0,0,8.89344e+06,472908
gru-ae,poisson,1,0.0601685,0.0780038,0.29529,0,0,8.89344e+06,581169
lstm-ae,direct,1,0.647515,0.3567,0.352491,0,0,1.18426e+07,175733
lstm-ae,latency,1,0.0584306,0.0912468,0.6375,0,0,1.18426e+07,445328
lstm-ae,poisson,1,0.0595585,0.07464,0.316342,0,0,1.18426e+07,682581
snn-ae,direct,2,0.00974042,0.0619764,0.986724,0.00174292,0.0875764,375366,12112.8
snn-ae,direct,2,0.0143831,0.0764616,0.985614,0,0.0710599,374097,9800.77
snn-ae,direct,2,0.0296192,0.0403638,0.718402,0,0.525742,424823,104896
snn-ae,latency,2,0.0209395,0.0542149,0.517649,0.00149546,0.588715,433603,14880.7
snn-ae,latency,2,0.0130359,0.0441371,0.529301,0.00517253,0.599592,414689,12281.3
snn-ae,latency,2,0.0131998,0.0467162,0.310758,0.00087146,0.579147,413118,67096.7
snn-ae,poisson,2,0.0434633,0.134738,-1.69751,0.207139,0.543138,410353,30465.5
snn-ae,poisson,2,0.0623437,0.164923,-1.41754,0.28123,0.511851,407950,30061
snn-ae,poisson,2,0.0591281,0.144787,-1.42901,0.223329,0.520139,424016,138148
transformer-ae,direct,1,0.657042,0.350722,0.342885,0,0,4.75546e+07,49272.6
transformer-ae,latency,1,0.057424,0.0871462,0.692358,0,0,4.75546e+07,107253
transformer-ae,poisson,1,0.052812,0.0657153,0.468004,0,0,4.75546e+07,199933
