Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
gru-ae,direct,1,0.612209,0.401299,0.387673,0,0,8.89344e+06,134718
gru-ae,latency,1,0.0625717,0.0999725,0.679658,0,0,8.89344e+06,716506
gru-ae,poisson,1,0.0523703,0.0656895,0.271737,0,0,8.89344e+06,666601
lstm-ae,direct,1,0.676607,0.40426,0.323208,0,0,1.18426e+07,230876
lstm-ae,latency,1,0.0669002,0.101901,0.663447,0,0,1.18426e+07,682392
lstm-ae,poisson,1,0.0512717,0.0657576,0.288606,0,0,1.18426e+07,491100
snn-ae,direct,2,0.0965336,0.186981,0.87138,0.0535483,0.147101,379937,17592.7
snn-ae,direct,2,0.107307,0.203356,0.892688,0.045166,0.122808,378072,17978.1
snn-ae,direct,2,0.0335743,0.0618368,0.654212,0,0.557888,429216,76294.2
snn-ae,latency,2,0.0383861,0.0876498,0.614125,0,0.65756,428315,28338.3
snn-ae,latency,2,0.0420893,0.0907052,0.585395,0,0.661819,419468,19584.5
snn-ae,latency,2,0.0458574,0.0998496,0.483588,0.000771605,0.631756,428803,118966
snn-ae,poisson,2,0.0566037,0.155011,-1.98732,0.258205,0.540222,413337,24242.1
snn-ae,poisson,2,0.0717427,0.172323,-1.27112,0.279228,0.509383,407761,23983.1
snn-ae,poisson,2,0.0683456,0.158308,-1.322,0.258889,0.519539,421356,110495
transformer-ae,direct,1,0.490973,0.373949,0.508872,0,0,4.75546e+07,74583.4
transformer-ae,latency,1,0.0628126,0.102511,0.672831,0,0,4.75546e+07,116276
transformer-ae,poisson,1,0.0481621,0.0556893,0.358874,0,0,4.75546e+07,235310
