model,encoding,architecture,v_th,alpha,run_id,seed,cv_fold,split,speaker_id,recording_id,window_id,source_window_index,mse,mae
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,200,3549,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,201,3562,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,202,3573,0,0.00451120,0.00996918
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,203,3585,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,204,3597,0,0.00174046,0.00719844
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,205,3612,0,0.00174046,0.00719844
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,206,3626,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,207,3637,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,208,3651,0,0.00174046,0.00719844
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,209,3665,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,210,3677,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,211,3690,0,0.00952011,0.05011430
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,212,3705,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,213,3716,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,214,3730,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,215,3742,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,216,3760,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,217,3774,0,0.00451120,0.00996918
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,218,3788,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,219,3803,0,0.00451120,0.00996918
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,220,3818,0,0.00952011,0.05011430
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,221,3835,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,222,3854,0,0.00705998,0.04765418
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,223,3869,0,0.00451120,0.00996918
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,224,3880,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,225,3897,0,0.00952011,0.05011430
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,226,3913,0,0.00451120,0.00996918
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,227,3922,0,0.00735587,0.01969063
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,228,3944,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,229,3961,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,230,3979,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,231,3994,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,232,4007,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,233,4024,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,234,4038,0,0.00735587,0.01969063
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,235,4051,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,236,4065,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,237,4080,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,238,4096,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,239,4109,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,240,4125,0,0.00451120,0.00996918
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,241,4138,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,242,4151,0,0.00174046,0.00719844
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,243,4164,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,244,4176,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,245,4187,0,0.00451120,0.00996918
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,246,4200,0,0.00174046,0.00719844
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,247,4214,0,0.00174046,0.00719844
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,248,4227,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,249,4238,0,0.00388763,0.00934561
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,500,7741,0,0.00735587,0.01969063
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,501,7749,0,0.01241032,0.04632733
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,502,7757,0,0.00735587,0.01969063
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,503,7766,0,0.02003741,0.05986075
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,504,7773,0,0.00682190,0.04741609
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,505,7781,0,0.00705998,0.04765418
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,506,7793,0,0.00952011,0.05011430
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,507,7801,0,0.00705998,0.04765418
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,508,7809,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,509,7817,0,0.00451120,0.00996918
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,510,7826,0,0.01619873,0.05011575
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,511,7833,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,512,7844,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,513,7851,0,0.00451120,0.00996918
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,514,7863,0,0.00735587,0.01969063
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,515,7879,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,516,7897,0,0.00735587,0.01969063
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,517,7912,0,0.00301911,0.00847709
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,518,7921,0,0.00174046,0.00719844
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,519,7930,0,0.00451120,0.00996918
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,520,7939,0,0.21355399,0.33610159
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,521,7954,0,0.01282143,0.01827941
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,522,7972,0,0.02466862,0.05858564
snn-ae,,recurrent,1.00000000,0.89999998,3,44,3,val,4,523,7987,0,0.00952011,0.05011430
