Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
gru-ae,direct,1,0.669702,0.373972,0.330335,0,0,8.89344e+06,366486
gru-ae,latency,1,0.0704095,0.109208,0.625787,0,0,8.89344e+06,341488
gru-ae,poisson,1,0.0620121,0.0809066,0.359007,0,0,8.89344e+06,669556
lstm-ae,direct,1,0.647325,0.372417,0.352725,0,0,1.18426e+07,374193
lstm-ae,latency,1,0.0739057,0.1025,0.640789,0,0,1.18426e+07,858848
lstm-ae,poisson,1,0.0626498,0.0756609,0.35508,0,0,1.18426e+07,668848
snn-ae,direct,2,0.00958263,0.0532127,0.986914,0,0.0837616,375073,19864.5
snn-ae,direct,2,0.0150903,0.0717523,0.98491,0,0.0635197,373518,14893.1
snn-ae,direct,2,0.0245993,0.0340907,0.739381,0,0.525115,426406,145086
snn-ae,latency,2,0.0172034,0.0431187,0.520765,0,0.571332,426262,31961.6
snn-ae,latency,2,0.0113326,0.0338335,0.546969,0,0.584939,413563,29108.1
snn-ae,latency,2,0.0162833,0.0433229,0.351685,0.000834376,0.54991,418741,120440
snn-ae,poisson,2,0.0482148,0.143151,-1.97233,0.246953,0.541646,410238,27698.9
snn-ae,poisson,2,0.0599208,0.159789,-1.21987,0.239543,0.513079,411409,23323.3
snn-ae,poisson,2,0.0625752,0.145896,-1.48436,0.218279,0.514606,420744,115903
transformer-ae,direct,1,0.514684,0.352395,0.485366,0,0,4.75546e+07,109109
transformer-ae,latency,1,0.0658509,0.09564,0.680234,0,0,4.75546e+07,197394
transformer-ae,poisson,1,0.0614083,0.0704192,0.394063,0,0,4.75546e+07,118479
