model,encoding,architecture,v_th,alpha,run_id,seed,cv_fold,split,speaker_id,recording_id,window_id,source_window_index,mse,mae
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,50,822,0,0.17287256,0.28994486
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,51,843,0,0.16208501,0.28908345
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,52,860,0,0.14014143,0.28383631
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,53,882,0,0.04855637,0.11783277
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,54,902,0,0.03780780,0.07238944
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,55,918,0,0.06533480,0.16224736
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,56,937,0,0.06858061,0.16809206
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,57,957,0,0.05356692,0.13068528
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,58,977,0,0.07248817,0.17237923
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,59,995,0,0.23577796,0.36023879
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,60,1012,0,0.10399820,0.22305495
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,61,1033,0,0.08253380,0.18739654
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,62,1053,0,0.30578664,0.44576359
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,63,1070,0,0.05878876,0.14625677
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,64,1090,0,0.08067472,0.19805868
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,65,1109,0,0.07047898,0.17867970
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,66,1128,0,0.05284172,0.13551003
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,67,1147,0,0.05312089,0.13092367
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,68,1168,0,0.06862600,0.17391701
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,69,1188,0,0.03905034,0.07203204
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,70,1207,0,0.07352170,0.18258321
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,71,1228,0,0.06696568,0.16409719
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,72,1249,0,0.05182824,0.12301986
lstm-ae,,lstm,0.00000000,0.00000000,1,42,0,val,1,73,1268,0,0.07669382,0.18863253
