model,encoding,architecture,v_th,alpha,run_id,seed,cv_fold,split,speaker_id,recording_id,window_id,source_window_index,mse,mae
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2055,28817,1,0.17823993,0.24102171
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2055,28818,2,0.24384817,0.30468664
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2056,28828,0,0.00094719,0.00540560
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2056,28829,1,0.28656021,0.34821820
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2056,28830,2,0.31600115,0.37731344
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2057,28837,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2057,28838,1,0.11966300,0.18353270
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2057,28839,2,0.19148012,0.25420970
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2058,28845,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2058,28846,1,0.19041787,0.25332201
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2058,28847,2,0.25972903,0.32164419
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2059,28859,0,0.00055135,0.00489612
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2059,28860,1,0.23427582,0.29573411
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2059,28861,2,0.22086610,0.28232542
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2060,28865,0,0.00039541,0.00613658
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2060,28866,1,0.23375581,0.29103968
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2060,28867,2,0.25985822,0.32206094
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2061,28874,0,0.01329106,0.03353710
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2061,28875,1,0.21877958,0.27193516
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2061,28876,2,0.30187419,0.34841323
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2062,28880,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2062,28881,1,0.27066308,0.33256379
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2062,28882,2,0.25304198,0.30780330
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2063,28888,0,0.00081035,0.00710541
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2063,28889,1,0.24946536,0.31117696
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2063,28890,2,0.29118177,0.33232293
