backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,split,cv_fold,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,0.500000,0.990000,1,42,1327769346908022152,val,3,0.000304,0.003318,0.998273,0.000000,0.000000,0.000000,0.615547,415914.000000,70501.671875,876.899048,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.000000,0.800000,1,42,1327769346908022152,val,3,0.001341,0.014337,0.982278,0.000000,0.000000,0.000000,0.482148,405669.000000,59406.960938,828.303772,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.000000,0.900000,1,42,1327769346908022152,val,3,0.001203,0.013796,0.986826,0.000000,0.000000,0.000000,0.531706,409475.000000,70035.218750,815.864563,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.000000,0.990000,1,42,1327769346908022152,val,3,0.001749,0.008031,0.986115,0.000000,0.000000,0.000000,0.518516,408462.000000,112277.125000,824.330200,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.500000,0.800000,1,42,1327769346908022152,val,3,0.001555,0.007073,0.976141,0.000000,0.000000,0.000000,0.413763,400417.000000,79910.992188,867.128784,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.500000,0.900000,1,42,1327769346908022152,val,3,0.000802,0.002352,0.989371,0.000000,0.000000,0.000000,0.492461,406461.000000,69495.789062,994.684875,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.500000,0.990000,1,42,1327769346908022152,val,3,0.002974,0.018126,0.969504,0.000000,0.000000,0.000000,0.537057,409886.000000,91192.617188,861.947021,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,0.500000,0.990000,1,42,1327769346908022152,test,3,0.143681,0.194655,-0.056472,0.000000,0.000000,0.000000,0.629164,610239.000000,78983.648438,906.448425,37286,36864
xtensor,meeting01_loso,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,2,43,1327769346908022152,val,3,0.013795,0.060463,0.986206,0.000000,0.000000,0.000000,0.000000,11842560.000000,539516.375000,1834.239380,122472,1184256
xtensor,meeting01_loso,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,2,43,1327769346908022152,test,3,1.280855,0.684370,-0.280755,0.000000,0.000000,0.000000,0.000000,11842560.000000,0.000000,0.000000,122472,1184256
xtensor,meeting01_loso,fsdd,gru-ae,direct,gru,1,0.000000,0.000000,2,43,1327769346908022152,val,3,0.012556,0.056844,0.987444,0.000000,0.000000,0.000000,0.000000,8893440.000000,510269.125000,2796.137695,93032,889344
xtensor,meeting01_loso,fsdd,gru-ae,direct,gru,1,0.000000,0.000000,2,43,1327769346908022152,test,3,1.326848,0.691100,-0.326773,0.000000,0.000000,0.000000,0.000000,8893440.000000,0.000000,0.000000,93032,889344
xtensor,meeting01_loso,fsdd,transformer-ae,direct,transformer,1,0.000000,0.000000,2,43,1327769346908022152,val,3,0.012748,0.055913,0.987252,0.000000,0.000000,0.000000,0.000000,47554560.000000,150868.281250,445.962616,139176,4755456
xtensor,meeting01_loso,fsdd,transformer-ae,direct,transformer,1,0.000000,0.000000,2,43,1327769346908022152,test,3,1.016620,0.648877,-0.016520,0.000000,0.000000,0.000000,0.000000,47554560.000000,0.000000,0.000000,139176,4755456
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,0.500000,0.800000,2,43,1327769346908022152,val,3,0.020390,0.089755,0.979610,0.000000,0.000000,0.000000,0.082148,374949.000000,8828.535156,11.507863,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,0.500000,0.900000,2,43,1327769346908022152,val,3,0.012118,0.059742,0.987882,0.000000,0.000000,0.000000,0.055013,372865.000000,9066.662109,11.042298,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,0.500000,0.990000,2,43,1327769346908022152,val,3,0.016119,0.080116,0.983881,0.000000,0.000000,0.000000,0.059466,373207.000000,9295.101562,11.244351,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.000000,0.800000,2,43,1327769346908022152,val,3,0.014291,0.069888,0.985709,0.000000,0.000000,0.000000,0.062656,373452.000000,7783.086914,11.132046,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.000000,0.900000,2,43,1327769346908022152,val,3,0.012397,0.057812,0.987603,0.000000,0.000000,0.000000,0.050221,372497.000000,7906.760742,11.239601,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.000000,0.990000,2,43,1327769346908022152,val,3,0.011965,0.053833,0.988034,0.000000,0.000000,0.000000,0.049206,372419.000000,17096.998047,11.190852,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.500000,0.800000,2,43,1327769346908022152,val,3,0.021288,0.097375,0.978712,0.000000,0.000000,0.000000,0.098398,376197.000000,7521.547852,11.226611,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.500000,0.900000,2,43,1327769346908022152,val,3,0.015865,0.084466,0.984135,0.000000,0.000000,0.000000,0.070521,374056.000000,9070.148438,10.955975,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.500000,0.990000,2,43,1327769346908022152,val,3,0.021129,0.101759,0.978871,0.000000,0.000000,0.000000,0.090039,375555.000000,8081.079590,11.011359,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,0.500000,0.800000,2,43,1327769346908022152,val,3,0.011273,0.044604,0.984605,0.000000,0.000000,0.000000,0.087148,375333.000000,31434.066406,12.652426,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,0.500000,0.900000,2,43,1327769346908022152,val,3,0.007537,0.046749,0.989707,0.000000,0.000000,0.000000,0.080599,374830.000000,8982.838867,12.845328,37286,36864
