Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
gru-ae,direct,1,0.741937,0.43727,0.258138,0,0,8.89344e+06,168774
gru-ae,latency,1,0.0759796,0.124983,0.612029,0,0,8.89344e+06,412359
gru-ae,poisson,1,0.0593702,0.0729035,0.202102,0,0,8.89344e+06,292724
lstm-ae,direct,1,0.717276,0.45197,0.282829,0,0,1.18426e+07,261662
lstm-ae,latency,1,0.0761327,0.109537,0.618217,0,0,1.18426e+07,615348
lstm-ae,poisson,1,0.05979,0.0744105,0.192336,0,0,1.18426e+07,220312
snn-ae,direct,2,0.131848,0.207233,0.827302,0.249192,0.149091,380090,25352.1
snn-ae,direct,2,0.135532,0.214953,0.864467,0.213136,0.116284,377571,19829.4
snn-ae,direct,2,0.0320791,0.0606416,0.648489,0.012336,0.559046,429423,111484
snn-ae,latency,2,0.0491995,0.101614,0.532744,0.0635186,0.634358,434725,18368.6
snn-ae,latency,2,0.0477296,0.0951755,0.540408,0.0488814,0.636,417485,17267.1
snn-ae,latency,2,0.0479884,0.101517,0.447295,0.0358937,0.619398,420216,99290
snn-ae,poisson,2,0.0534153,0.149581,-1.57424,0.225788,0.523415,415815,17875.3
snn-ae,poisson,2,0.0736943,0.174341,-1.17913,0.281715,0.511661,407936,14575.6
snn-ae,poisson,2,0.0666231,0.154463,-1.16345,0.245887,0.514339,417894,70114
transformer-ae,direct,1,0.740979,0.437567,0.259109,0,0,4.75546e+07,68835.4
transformer-ae,latency,1,0.0787375,0.110538,0.611752,0,0,4.75546e+07,160934
transformer-ae,poisson,1,0.0540779,0.0589247,0.318751,0,0,4.75546e+07,112058
