model,encoding,mse,mae,r2,f1
LSTM-AE,direct,0.995452,0.704841,0.004549,0.000000
LSTM-AE,latency,0.245525,0.488018,0.004944,0.000000
LSTM-AE,poisson,0.113955,0.230645,-0.000545,0.000000
SNN-dense,direct,0.990592,0.748153,0.009408,0.666667
SNN-dense,latency,0.113029,0.233129,0.541912,0.644444
SNN-dense,poisson,0.123203,0.228110,-0.081846,0.638272
