encoding,lstm_ae,snn_dense,snn_conv1d,snn_recurrent
direct,0.995033,0.000000,0.000000,0.000000
poisson,0.116838,0.000000,0.000000,0.000000
latency,0.265463,0.000000,0.000000,0.000000
