model,mse,mae,r2,spike_rate,energy,infer_ms,train_ms,param_count,macs
LSTM-AE,0.998976,0.709281,0.001038,0.000000,85238400.000000,886.603943,70198.437500,120225.000000,8523840.000000
SNN-dense,1.128313,0.795669,-0.128310,0.522461,371315.000000,1.548039,306.771606,37286.000000,36864.000000
