model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
lstm-ae direct lstm 0.000000 0.000000 0.9990 0.7093 0.0010 0.0000 0.0000 85238400.0000 886.6039 70198.4375 120225.0000 8523840.0000
snn-ae direct dense 1.000000 0.900000 1.1283 0.7957 -0.1283 0.0000 0.5225 371315.0000 1.5480 306.7716 37286.0000 36864.0000
