alpha mse_dense mse_conv1d mse_recurrent energy_dense energy_conv1d energy_recurrent
0.8000 0.0000 0.0000 0.1402 0.0000 0.0000 375905.0000
0.9000 0.0000 0.0000 0.1349 0.0000 0.0000 376006.0000
0.9900 0.0000 0.0000 0.0719 0.0000 0.0000 376190.0000
