model,encoding,spike_rate,energy,param_count,macs
LSTM-AE,direct,0.000000,85238400.000000,120225.000000,8523840.000000
LSTM-AE,latency,0.000000,85238400.000000,120225.000000,8523840.000000
LSTM-AE,poisson,0.000000,85238400.000000,120225.000000,8523840.000000
SNN-dense,direct,0.483565,372353.777778,37286.000000,36864.000000
SNN-dense,latency,0.882923,375420.851852,37286.000000,36864.000000
SNN-dense,poisson,0.962336,376030.740741,37286.000000,36864.000000
