alpha mse_dense mse_conv1d mse_recurrent energy_dense energy_conv1d energy_recurrent
0.8000 0.0000 0.7666 0.0000 0.0000 372366.6667 0.0000
0.9000 0.0000 0.8027 0.0000 0.0000 372374.0000 0.0000
0.9900 0.0000 0.8430 0.0000 0.0000 372346.6667 0.0000
