model,mse,mae,r2,spike_rate,energy,infer_ms,train_ms,param_count,macs
LSTM-AE,0.452288,0.488160,-0.005441,0.000000,85238400.000000,2679.328627,541688.250000,120225.000000,8523840.000000
SNN-dense,0.455476,0.402962,0.083136,0.782018,374645.901235,3.460166,4578.901293,37286.000000,36864.000000
